key,label,q,kv,q_task_rows,requested_workers,mapping,host_us_median,host_us_ci_low,host_us_ci_high,profiled_total_median,profiled_total_ci_low,profiled_total_ci_high,q_load_median,q_load_ci_low,q_load_ci_high,k_load_median,k_load_ci_low,k_load_ci_high,v_load_median,v_load_ci_low,v_load_ci_high,qk_dot_median,qk_dot_ci_low,qk_dot_ci_high,safe_sm_median,safe_sm_ci_low,safe_sm_ci_high,scna_exp_median,scna_exp_ci_low,scna_exp_ci_high,state_update_median,state_update_ci_low,state_update_ci_high,core_acc_median,core_acc_ci_low,core_acc_ci_high,o_scale_median,o_scale_ci_low,o_scale_ci_high,o_store_median,o_store_ci_low,o_store_ci_high,active_workers_median,active_workers_ci_low,active_workers_ci_high,tasks_median,tasks_ci_low,tasks_ci_high,q_task_rows_actual_median,q_task_rows_actual_ci_low,q_task_rows_actual_ci_high,vtcm_total_bytes_median,vtcm_total_bytes_ci_low,vtcm_total_bytes_ci_high,task_records_max_worker_median,task_records_max_worker_ci_low,task_records_max_worker_ci_high,task_records_min_worker_median,task_records_min_worker_ci_low,task_records_min_worker_ci_high,task_record_imbalance_median,task_record_imbalance_ci_low,task_record_imbalance_ci_high
fused_state_update|32|4096|8|auto|query_chunk_x_kv_head,fused_state_update,32,4096,8,auto,query_chunk_x_kv_head,1090.5,1080.0,1097.5,3035.0,3017.5,3047.5,22.0,22.0,23.0,836.5,828.0,845.0,499.5,495.0,504.0,53.5,52.0,55.0,1500.0,1494.0,1511.0,1020.0,1016.5,1026.0,0.0,0.0,0.0,62.0,59.0,65.0,17.0,16.0,18.5,27.5,27.0,28.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
fused_state_update|32|512|16|auto|query_chunk_x_kv_head,fused_state_update,32,512,16,auto,query_chunk_x_kv_head,270.0,268.5,271.0,317.5,313.0,320.5,19.0,19.0,20.0,47.5,45.0,49.5,20.0,20.0,21.0,1.0,0.5,1.0,205.0,205.0,206.0,126.0,125.0,127.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5,2.0,3.0,20.0,20.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|512|32|auto|query_chunk_x_kv_head,fused_state_update,32,512,32,auto,query_chunk_x_kv_head,269.0,268.0,270.0,276.0,275.0,277.0,14.0,14.0,14.0,19.0,19.0,22.0,11.0,10.0,11.0,2.0,2.0,2.0,202.0,202.0,203.0,121.0,120.0,121.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,19.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|512|4|auto|query_chunk_x_kv_head,fused_state_update,32,512,4,auto,query_chunk_x_kv_head,273.0,270.0,277.0,476.0,474.0,478.0,18.0,17.0,19.0,168.5,167.0,171.0,78.0,77.0,78.0,0.0,0.0,0.0,195.0,194.0,196.0,123.0,123.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,6.0,6.0,6.0,16.0,16.0,16.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
fused_state_update|32|512|8|auto|query_chunk_x_kv_head,fused_state_update,32,512,8,auto,query_chunk_x_kv_head,268.0,266.0,270.0,376.5,373.0,378.0,20.0,20.0,21.0,95.0,93.0,97.0,38.0,38.0,38.0,1.0,1.0,1.0,198.0,197.0,199.0,124.0,123.0,124.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.5,3.0,19.0,19.0,20.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
fused_state_update|4|2048|16|auto|query_chunk_x_kv_head,fused_state_update,4,2048,16,auto,query_chunk_x_kv_head,366.5,359.0,371.5,275.0,272.0,279.5,2.0,2.0,2.0,96.0,94.0,97.0,66.0,66.0,67.0,2.0,2.0,2.0,99.5,98.0,100.0,66.0,66.0,67.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|2048|32|auto|query_chunk_x_kv_head,fused_state_update,4,2048,32,auto,query_chunk_x_kv_head,374.0,366.0,378.0,282.0,277.0,285.0,2.0,2.0,2.0,98.0,95.5,100.0,68.0,67.0,70.0,2.0,2.0,2.0,99.0,98.0,100.0,66.0,66.0,66.5,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|2048|4|auto|query_chunk_x_kv_head,fused_state_update,4,2048,4,auto,query_chunk_x_kv_head,393.0,391.0,395.5,292.0,289.5,294.5,2.0,2.0,2.0,101.0,100.0,102.0,72.0,71.0,72.0,2.0,2.0,2.0,107.5,106.0,108.0,72.0,71.0,72.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,3.5,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|2048|8|auto|query_chunk_x_kv_head,fused_state_update,4,2048,8,auto,query_chunk_x_kv_head,394.0,389.0,397.0,288.5,286.0,291.0,2.0,2.0,2.0,99.0,98.0,100.5,71.0,70.5,72.0,2.0,2.0,2.0,106.0,106.0,107.0,71.0,70.0,71.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|4096|16|auto|query_chunk_x_kv_head,fused_state_update,4,4096,16,auto,query_chunk_x_kv_head,548.0,538.5,549.5,534.5,526.0,542.0,2.0,2.0,2.0,185.0,183.5,188.0,138.0,136.0,141.0,4.0,4.0,4.0,185.0,184.0,187.0,128.0,128.0,128.5,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
