mode,function,kernel,pipeline,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,o_scale_median_us,o_store_median_us,kv_dma_issue_median_us,kv_dma_wait_median_us,kv_transform_median_us,kv_load_median_us,host_control_median_us,scna_share_pct,baseline_speedup,pipeline_speedup,pipeline_speedup_ci_low,pipeline_speedup_ci_high,host_pipeline_speedup,host_pipeline_speedup_ci_low,host_pipeline_speedup_ci_high
scna-fp16,exp2,tree,off,8,16,20,1491.5,1491.5,1506.0,1436.0,1495.5,1768.0,1876.05,1759.5,1841.0,739.0,553.5,8.0,374.0,328.5,12.0,10.0,3.0,11.0,0.0,0.0,0.0,702.5,276.5,37.11029165269863,0.8437814280925243,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,8,32,20,2261.0,2261.0,2268.05,2258.0,2264.5,2634.0,2666.15,2586.5,2648.5,1455.0,1087.0,16.0,388.5,333.0,24.0,22.0,3.0,22.0,0.0,0.0,0.0,721.5,373.0,48.07607253427687,0.8814683768244139,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,16,4,20,915.0,915.0,919.05,855.0,917.0,1184.0,1240.3,1152.0,1196.5,226.0,170.5,2.0,348.0,322.5,4.0,3.0,2.0,3.0,0.0,0.0,0.0,670.5,269.0,18.633879781420767,0.9693989071038251,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,16,8,20,1111.0,1111.0,1124.55,1087.0,1122.0,1370.5,1430.25,1365.0,1379.0499999999997,417.0,320.0,4.0,352.5,315.5,8.0,7.0,2.0,6.0,0.0,0.0,0.0,668.0,259.5,28.802880288028803,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,16,16,20,1513.0,1513.0,1585.15,1507.5,1564.0,1864.5,1937.0,1860.0,1883.5,799.0,626.0,8.0,350.5,324.0,12.0,11.0,3.0,10.0,0.0,0.0,0.0,674.5,351.5,41.374752148050234,0.8317911434236616,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,16,32,20,2417.5,2417.5,2430.15,2409.0,2423.0,2779.5,2828.25,2732.0,2790.5,1615.0,1249.0,15.0,383.5,331.5,24.0,22.5,4.0,22.0,0.0,0.0,0.0,715.0,362.0,51.664943123061015,0.8244053774560497,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,32,4,20,971.5,971.5,983.05,925.0,973.5,1228.5,1290.1000000000001,1187.0,1234.0,272.0,215.0,2.0,358.5,329.5,4.0,3.0,2.0,2.0,0.0,0.0,0.0,688.0,257.0,22.13072568193515,0.9130211013896037,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,32,8,20,1153.5,1153.5,1178.25,1138.5,1160.0,1448.0,1529.2,1400.5,1491.0,490.5,398.0,4.0,335.0,304.0,8.0,7.0,2.0,6.0,0.0,0.0,0.0,639.0,294.5,34.50368443866493,0.9193758127438232,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,32,16,20,1722.5,1722.5,1739.35,1695.5,1733.5,2003.0,2095.8,1997.5,2030.0,973.5,788.0,8.0,370.5,331.0,12.0,11.0,3.0,10.5,0.0,0.0,0.0,701.5,280.5,45.74746008708273,0.7306240928882438,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp2,tree,off,32,32,20,2663.5,2663.5,2675.5,2660.5,2669.5,3034.0,3069.5,2971.0,3050.5,1919.0,1547.5,16.0,338.5,319.0,24.0,23.0,3.0,22.0,0.0,0.0,0.0,657.5,370.5,58.10024403979726,0.74826356298104,1.0,1.0,1.0,1.0,1.0,1.0
