mode,function,kernel,pipeline,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,o_scale_median_us,o_store_median_us,kv_dma_issue_median_us,kv_dma_wait_median_us,kv_transform_median_us,kv_load_median_us,host_control_median_us,scna_share_pct,baseline_speedup,pipeline_speedup,pipeline_speedup_ci_low,pipeline_speedup_ci_high,host_pipeline_speedup,host_pipeline_speedup_ci_low,host_pipeline_speedup_ci_high
scna-int8,exp,tree,off,16,8,20,1025.0,1025.0,1033.6,1017.0,1031.5,1291.0,1339.75,1283.5,1321.0,473.0,385.0,4.0,276.0,250.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,526.0,266.0,37.5609756097561,1.0346341463414634,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,16,16,20,1705.0,1705.0,1721.25,1638.0,1718.0,1988.0,2035.85,1958.0,2003.5,962.0,770.0,8.0,375.0,330.5,12.0,10.5,2.0,11.0,0.0,0.0,0.0,705.5,283.0,45.16129032258065,0.7381231671554253,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,16,32,20,2704.0,2704.0,2718.05,2694.5,2708.0,3047.0,3102.15,3007.0,3071.5,1888.0,1518.0,16.0,392.0,332.0,24.0,23.0,3.0,22.0,0.0,0.0,0.0,724.0,343.0,56.13905325443787,0.7370562130177515,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,32,4,20,983.5,983.5,996.1,920.5,987.0,1256.5,1343.95,1239.0,1296.0,285.0,236.0,2.0,359.0,318.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,677.0,273.0,23.995932892730046,0.9018810371123538,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,32,8,20,1275.0,1275.0,1295.15,1251.0,1286.5,1596.5,1635.6,1551.0,1607.5,563.0,459.5,4.0,358.0,329.5,8.0,7.0,2.0,6.0,0.0,0.0,0.0,687.5,321.5,36.03921568627451,0.831764705882353,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,32,16,20,1690.0,1690.0,1768.85,1685.0,1696.0,2001.5,2103.5,1979.0,2033.0,1069.0,887.0,8.0,305.0,272.5,12.0,11.0,2.0,11.0,0.0,0.0,0.0,577.5,311.5,52.485207100591715,0.7446745562130177,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,32,32,20,2797.5,2797.5,2804.1,2794.0,2799.0,3121.0,3169.35,3102.5,3132.0,2129.0,1761.0,14.5,298.5,282.5,24.0,23.0,3.0,22.0,0.0,0.0,0.0,581.0,323.5,62.94906166219839,0.7124218051831993,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,on,8,4,20,449.0,449.0,454.0,448.5,450.0,670.5,686.15,665.5,672.5,214.0,174.0,2.0,130.0,96.5,2.5,0.0,0.0,4.0,8.0,18.5,193.0,226.5,221.5,38.75278396436526,1.975501113585746,2.121380846325167,2.111111111111111,2.1288924731182797,1.8247576435495898,1.7944899478778853,1.8480550765557493
scna-int8,exp,tree,on,8,8,20,674.5,674.5,677.05,672.0,675.0,915.0,975.0,888.0,961.0,423.5,347.0,4.0,131.0,97.0,8.0,4.0,2.0,5.0,9.0,18.0,193.0,228.0,240.5,51.44551519644181,1.5722757598220904,1.6464047442550036,1.5733333333333333,1.6550185873605947,1.5076502732240438,1.417138591633615,1.6111172976985895
scna-int8,exp,tree,on,8,16,20,1109.0,1109.0,1115.2,1108.0,1110.0,1392.5,1426.05,1389.0,1393.0,841.0,690.0,8.0,131.0,97.0,11.0,9.0,2.0,10.0,9.0,19.0,193.0,228.0,283.5,62.21821460775473,1.1348061316501352,1.3309287646528405,1.3285263632266786,1.333633904418395,1.2578096947935369,1.2512562814070352,1.277099784637473
scna-int8,exp,tree,on,8,32,20,1980.0,1980.0,1998.15,1971.5,1983.5,2283.5,2336.05,2268.0,2290.0,1666.0,1376.0,14.5,131.0,99.0,24.0,21.0,4.0,21.0,9.5,20.0,193.0,230.0,303.5,69.4949494949495,1.0065656565656567,1.2053030303030303,1.2019157451035494,1.210446247464503,1.213269104444931,1.2079329817583597,1.222809335094672
scna-int8,exp,tree,on,16,4,20,473.0,473.0,530.1,472.0,474.0,666.5,754.45,660.0,674.0,233.0,194.0,2.0,130.0,102.0,2.5,0.0,0.0,4.0,8.0,24.0,193.0,232.0,193.5,41.014799154334035,1.8752642706131077,1.653276955602537,1.6331923890063424,1.6659619450317125,1.6099024756189046,1.5466751222716988,1.6265151515151515
scna-int8,exp,tree,on,16,8,20,738.5,738.5,746.4,707.5,741.5124999999999,1005.0,1024.65,982.0,1013.0,464.0,382.0,3.0,134.0,116.5,7.0,4.0,2.0,4.0,9.0,45.0,193.0,250.5,266.5,51.726472579553146,1.4360189573459716,1.3879485443466486,1.3757595289941262,1.4533898305084745,1.2845771144278606,1.2697628458498025,1.3251503006012024
scna-int8,exp,tree,on,16,16,20,1333.5,1333.5,1342.05,1330.0,1338.5,1606.5,1648.2,1578.0,1620.5,948.0,767.0,7.0,174.0,173.0,10.5,9.0,2.0,10.0,9.0,137.0,192.0,347.0,273.0,57.51781027371579,0.9437570303712036,1.2785901762279714,1.2285287528005975,1.2904922961292746,1.2374727668845316,1.2147478613451195,1.2629607718840759
scna-int8,exp,tree,on,16,32,20,2307.5,2307.5,2319.1,2290.0,2313.0,2606.5,2652.3,2565.0,2635.0,1878.5,1514.0,14.0,174.0,172.5,22.5,21.0,4.0,20.0,9.0,138.5,192.0,346.5,299.0,65.61213434452871,0.8637053087757313,1.171830985915493,1.166558508275078,1.1783536585365855,1.169000575484366,1.152479724411725,1.1911822083495904
scna-int8,exp,tree,on,32,4,20,558.5,558.5,566.05,544.5,562.5,784.0,828.8,764.9375,802.0,273.5,227.0,2.0,146.0,131.5,3.0,0.0,1.0,2.0,9.0,68.5,193.0,277.5,225.5,40.644583706356315,1.5881826320501342,1.7609668755595345,1.6438096894479075,1.804029304029304,1.6026785714285714,1.5455112219451372,1.6675378086938968
scna-int8,exp,tree,on,32,8,20,789.0,789.0,793.0,777.5,791.0,1052.5,1103.05,1010.5,1060.5,527.0,444.0,3.0,133.0,108.0,6.5,4.0,2.0,4.0,8.0,33.0,192.0,241.0,263.5,56.27376425855513,1.344106463878327,1.6159695817490494,1.5854430379746836,1.6480411046885035,1.5168646080760095,1.4736342042755344,1.5839154115312815
scna-int8,exp,tree,on,32,16,20,1301.5,1301.5,1307.8,1300.0,1304.0,1549.5,1581.75,1542.0,1557.0,1033.0,882.0,7.5,131.0,98.0,11.0,9.0,2.0,10.0,9.0,19.5,193.0,229.0,248.0,67.76796004610065,0.9669611986169804,1.2985017287744909,1.293937068303914,1.3036126056879325,1.291707002258793,1.274885581783962,1.3118140735958683
scna-int8,exp,tree,on,32,32,20,2538.5,2538.5,2552.15,2532.5,2547.0,2850.5,2907.2,2813.0,2888.5,2126.0,1764.0,14.0,159.0,172.5,23.0,20.5,4.0,20.0,9.0,122.5,192.0,331.5,312.0,69.48985621429978,0.7851093165255072,1.1020287571400433,1.0978004713275726,1.104639684106614,1.0948956323452026,1.0775891929338413,1.1093395079561321
scna-int8,exp2,direct,off,8,4,20,888.5,888.5,927.2,883.0,901.0,1167.5,1244.05,1135.0,1197.0,218.5,165.5,2.0,340.5,319.5,4.0,3.0,2.0,3.0,0.0,0.0,0.0,660.0,279.0,18.626899268429938,0.9983117613956106,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,8,8,20,1084.0,1084.0,1110.15,1073.5,1096.0,1400.5,1412.15,1397.0,1402.0,409.0,319.0,4.0,337.0,314.0,9.0,6.0,3.0,6.0,0.0,0.0,0.0,651.0,316.5,29.428044280442805,0.9783210332103321,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,8,16,20,1519.5,1519.5,1588.0,1512.0,1548.0,1861.5,1891.75,1859.0,1865.0,805.0,630.0,8.0,347.0,324.0,12.0,12.0,3.0,10.0,0.0,0.0,0.0,671.0,342.0,41.46100691016782,0.8282329713721619,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,8,32,20,2445.5,2445.5,2454.1,2437.5,2448.5,2775.0,2811.3,2761.0,2790.5,1630.0,1256.0,16.0,388.0,342.5,24.0,22.0,3.0,20.0,0.0,0.0,0.0,730.5,329.5,51.359640155387446,0.814966264567573,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,16,4,20,790.5,790.5,942.4,786.0,812.0,1085.5,1193.15,1063.0,1113.0,252.0,209.0,2.0,273.5,252.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,525.5,295.0,26.43896268184693,1.1220746363061354,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,16,8,20,1147.0,1147.0,1195.15,1140.0,1181.0,1431.5,1491.1000000000001,1405.5,1452.5,496.0,407.0,4.0,331.5,296.0,8.0,7.0,1.0,6.0,0.0,0.0,0.0,627.5,284.5,35.483870967741936,0.9245858761987794,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,16,16,20,1691.5,1691.5,1704.1,1689.5,1693.0,2020.0,2053.2,2002.5,2027.5,985.0,806.0,8.5,354.5,305.0,12.0,12.0,3.0,10.0,0.0,0.0,0.0,659.5,328.5,47.65001477978126,0.7440141885900089,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,16,32,20,2639.0,2639.0,2648.1,2636.0,2642.0,2987.0,3037.6,2957.5,3024.5,1967.0,1597.0,16.0,301.5,280.5,25.0,24.0,3.0,22.0,0.0,0.0,0.0,582.0,348.0,60.51534672224327,0.7552103069344449,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,32,4,20,856.5,856.5,880.15,851.0,865.0,1164.5,1174.25,1159.0,1168.5,338.5,297.0,2.0,264.0,239.0,4.0,4.0,1.5,2.0,0.0,0.0,0.0,503.0,308.0,34.67600700525394,1.0356100408639812,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,32,8,20,1374.5,1374.5,1411.05,1357.0,1394.5,1672.5,1742.7,1651.0,1715.0499999999997,672.0,583.0,4.0,349.0,323.5,8.0,9.0,2.5,6.0,0.0,0.0,0.0,672.5,298.0,42.41542379046926,0.7715532921062205,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,32,16,20,2098.0,2098.0,2107.05,2094.5,2102.5,2374.5,2436.25,2366.5,2396.0,1336.0,1152.0,8.0,382.0,334.0,13.0,13.0,3.0,10.0,0.0,0.0,0.0,716.0,276.5,54.90943755958055,0.5998570066730219,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,off,32,32,20,3478.0,3478.0,3491.05,3469.0,3482.0,3812.5,3857.3,3801.0,3827.0,2664.0,2290.5,15.0,385.5,338.0,25.0,25.0,3.0,22.0,0.0,0.0,0.0,723.5,334.5,65.85681426106959,0.5730304772857965,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,direct,on,8,4,20,443.5,443.5,498.1,442.0,446.5,702.5,717.15,700.5,704.0,194.0,158.0,2.0,131.0,110.0,2.5,0.0,0.0,4.0,8.0,33.5,192.0,241.0,259.0,35.62570462232244,2.0,2.0033821871476887,1.9852707032533685,2.030474040632054,1.6619217081850535,1.6145092460881934,1.7047075606276747
scna-int8,exp2,direct,on,8,8,20,661.0,661.0,727.2,659.0,661.5,931.5,958.65,929.5,935.0,395.0,314.0,3.0,131.0,115.0,6.0,4.0,2.0,4.0,8.0,38.0,192.0,246.0,270.5,47.503782148260214,1.6043872919818456,1.6399394856278366,1.6240544629349472,1.6593679031037094,1.5034889962426194,1.4962566844919787,1.5075268817204301
scna-int8,exp2,direct,on,8,16,20,1117.5,1117.5,1138.3,1094.0,1128.0,1340.5,1427.3500000000001,1317.5,1360.0,800.5,627.0,7.0,145.0,135.0,10.5,9.0,2.0,10.0,9.0,71.0,192.0,280.0,223.0,56.10738255033557,1.1261744966442953,1.359731543624161,1.3442477876106194,1.4001991749097173,1.3886609474076836,1.368979582609697,1.413886305956713
scna-int8,exp2,direct,on,8,32,20,2024.0,2024.0,2041.1,2020.5,2029.5,2344.5,2389.65,2301.5,2374.5,1612.0,1251.0,14.0,165.0,163.5,23.0,21.0,4.0,20.0,9.5,121.0,192.0,328.5,320.5,61.808300395256914,0.9846837944664032,1.2082509881422925,1.2033481043820777,1.2109687185629971,1.183621241202815,1.1651917404129795,1.2077940318108857
scna-int8,exp2,direct,on,16,4,20,495.0,495.0,573.3,494.0,496.0,701.0,825.75,699.5,705.5,243.0,200.0,2.0,132.0,111.5,2.5,0.0,0.0,4.0,8.0,35.5,192.0,243.5,206.0,40.4040404040404,1.791919191919192,1.596969696969697,1.5856854838709677,1.6404040404040403,1.5485021398002854,1.5142857142857142,1.587731811697575
scna-int8,exp2,direct,on,16,8,20,806.0,806.0,850.05,772.5,842.5,1055.0,1111.7,1031.1875,1070.5,491.5,401.0,4.0,150.0,145.0,7.0,4.0,2.0,4.0,9.0,88.5,192.5,295.0,249.0,49.75186104218362,1.31575682382134,1.4230769230769231,1.3603520885642548,1.4987129987129988,1.356872037914692,1.32165699925706,1.4004881377804248
scna-int8,exp2,direct,on,16,16,20,1340.5,1340.5,1348.05,1295.0,1346.5,1602.0,1655.3,1530.9875,1620.0,980.0,800.0,7.0,162.0,159.0,10.5,9.0,2.0,10.0,9.0,112.5,192.0,321.0,261.5,59.67922417008579,0.9388287952256621,1.2618425960462514,1.2557620817843866,1.3061805627014202,1.260923845193508,1.2426310890474712,1.3165009778357235
scna-int8,exp2,direct,on,16,32,20,2198.0,2198.0,2201.0,2196.0,2200.0,2513.5,2542.9,2468.0,2534.0,1883.0,1590.0,15.0,131.0,98.0,23.0,21.5,4.0,21.0,9.0,20.0,193.0,229.0,315.5,72.33848953594176,0.9067333939945404,1.2006369426751593,1.198999317716625,1.2025489303595813,1.1883827332405013,1.1728644372165746,1.2186618299072955
scna-int8,exp2,direct,on,32,4,20,559.0,559.0,561.0,558.5,560.0,770.0,777.2,767.0,771.0,324.0,286.0,2.0,130.0,97.0,3.0,0.0,0.0,4.0,9.0,19.0,193.0,227.0,211.0,51.16279069767442,1.5867620751341682,1.5322003577817531,1.522361359570662,1.5474060822898033,1.5123376623376623,1.5058365758754864,1.5205218419526125
scna-int8,exp2,direct,on,32,8,20,909.5,909.5,980.25,907.5,971.0,1134.5,1229.95,1129.5,1187.5,653.0,571.0,4.0,130.5,106.0,6.0,4.0,2.0,4.0,9.0,27.5,193.0,236.5,225.0,62.78174821330401,1.166025288620121,1.5112699285321605,1.411946446961895,1.53494771601541,1.4742177170559718,1.3993231810490694,1.50991626267078
scna-int8,exp2,direct,on,32,16,20,1622.0,1622.0,1644.1,1598.0,1638.5,1879.0,1920.5,1849.0,1885.5,1314.0,1141.0,8.0,144.0,126.0,10.5,9.0,2.0,10.0,9.0,59.5,192.5,270.0,257.0,70.34525277435264,0.7758939580764488,1.2934648581997534,1.2800488102501526,1.3144575887465848,1.2637040979244278,1.2581743013334905,1.2869144773186758
scna-int8,exp2,direct,on,32,32,20,2941.5,2941.5,2969.2,2938.5,2944.0,3232.5,3305.5,3200.5,3286.0,2612.5,2275.0,14.0,135.0,111.0,24.0,22.0,4.0,20.0,9.5,36.0,193.0,246.0,291.0,77.34149243583205,0.6775454699983002,1.1823899371069182,1.1788686937319517,1.1841847920337407,1.1794276875483372,1.1583434835566382,1.192784637628176
scna-int8,exp2,tree,off,8,4,20,890.5,890.5,921.6,856.0,917.5,1178.5,1254.15,1129.0,1197.5,228.5,181.5,2.0,331.0,315.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,646.0,288.0,20.38180797304885,0.99606962380685,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,8,8,20,1125.0,1125.0,1173.05,1119.5,1142.0,1392.5,1508.8,1390.0,1407.0,441.0,351.0,4.0,346.0,316.0,9.0,6.0,2.0,6.0,0.0,0.0,0.0,662.0,267.5,31.2,0.9426666666666667,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,8,16,20,1541.5,1541.5,1594.7,1526.5,1569.5,1858.5,1926.85,1847.0,1878.0,869.5,694.0,8.0,332.5,299.0,13.0,11.0,3.0,10.0,0.0,0.0,0.0,631.5,317.0,45.021083360363285,0.8164125851443399,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,8,32,20,2535.5,2535.5,2544.15,2527.0,2538.5,2896.0,2919.55,2849.0,2902.0,1748.0,1383.0,16.0,365.0,335.0,24.0,23.0,3.0,22.0,0.0,0.0,0.0,700.0,360.5,54.54545454545455,0.7860382567540919,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,16,4,20,869.0,869.0,898.2,859.5,894.0,1147.5,1213.45,1146.0,1193.5,245.0,200.0,2.0,314.0,304.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,618.0,278.5,23.014959723820482,1.0207134637514383,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,16,8,20,1038.5,1038.5,1053.2,1035.0,1045.0,1322.5,1381.75,1321.0,1328.0,475.5,385.0,4.0,279.0,256.0,8.0,6.0,3.0,6.0,0.0,0.0,0.0,535.0,284.0,37.07270101107366,1.0211844005777564,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,16,16,20,1642.5,1642.5,1684.15,1614.5,1678.5,1977.5,2020.35,1920.5,1987.5,945.0,764.0,8.0,347.5,311.5,12.0,11.0,3.0,10.0,0.0,0.0,0.0,659.0,335.0,46.5144596651446,0.7662100456621005,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,16,32,20,2516.0,2516.0,2525.15,2511.0,2520.5,2875.0,2923.0,2843.5,2913.5,1877.5,1508.0,16.0,283.0,267.0,24.0,23.0,3.0,22.0,0.0,0.0,0.0,550.0,359.0,59.93640699523053,0.7921303656597775,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,32,4,20,873.5,873.5,881.15,842.5,878.0,1189.5,1205.4,1138.0,1196.5,276.5,229.0,2.0,291.0,292.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,583.0,316.0,26.216370921579852,1.0154550658271322,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,32,8,20,1164.0,1164.0,1178.1,1158.5,1169.0,1467.0,1519.1,1438.0,1500.5,540.0,448.0,4.0,308.5,288.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,596.5,303.0,38.487972508591064,0.9110824742268041,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,32,16,20,1829.5,1829.5,1840.25,1825.5,1834.5,2127.5,2150.65,2115.0,2141.0,1076.0,893.0,8.0,379.0,332.0,12.0,11.0,3.0,10.0,0.0,0.0,0.0,711.0,298.0,48.81115058759224,0.6878928669035256,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,off,32,32,20,2951.0,2951.0,2962.1,2944.5,2957.0,3291.5,3344.15,3282.5,3306.5,2144.0,1767.0,16.0,384.5,331.5,25.0,22.0,4.0,22.0,0.0,0.0,0.0,716.0,340.5,59.87800745509997,0.6753642832937987,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp2,tree,on,8,4,20,456.0,456.0,459.05,455.0,456.5,672.0,688.45,668.5,678.0,213.0,175.0,2.0,130.0,103.5,3.0,0.0,0.0,4.0,9.0,25.0,192.5,233.5,216.0,38.37719298245614,1.9451754385964912,1.9528508771929824,1.8771929824561404,2.0142700329308454,1.7537202380952381,1.6725925925925926,1.7846497764530551
scna-int8,exp2,tree,on,8,8,20,683.0,683.0,721.35,681.0,710.5,892.0,1010.1,881.0,928.0,427.0,346.0,4.0,131.0,104.0,7.0,4.0,2.0,5.0,9.0,25.0,193.0,235.0,209.0,50.658857979502194,1.5527086383601756,1.6471449487554906,1.5827439886845827,1.6720657624464361,1.5610986547085202,1.501890869800108,1.5892055848115298
scna-int8,exp2,tree,on,8,16,20,1169.0,1169.0,1178.1,1165.0,1173.0,1426.0,1478.85,1421.5,1460.0,862.0,692.0,8.0,143.0,124.0,10.5,9.0,2.0,10.0,9.0,58.5,193.0,267.0,257.0,59.19589392643285,1.0765611633875107,1.3186484174508126,1.3040885860306644,1.345049292756108,1.3032959326788218,1.270890410958904,1.3188202247191012
scna-int8,exp2,tree,on,8,32,20,2121.5,2121.5,2130.3,2092.0,2127.0,2380.0,2439.8,2372.0,2391.5,1734.0,1380.0,14.0,156.0,147.5,24.0,20.0,4.0,20.0,9.0,94.5,192.0,303.5,258.5,65.04831487155315,0.9394296488333727,1.1951449446146594,1.1892781565953445,1.2117737128472215,1.2168067226890755,1.1977448319064523,1.2218235731385036
scna-int8,exp2,tree,on,16,4,20,481.0,481.0,484.0,477.0,481.5,686.0,694.1,682.0,687.5,234.0,193.0,1.0,130.5,106.5,3.0,0.0,0.0,4.0,8.5,28.5,192.5,237.0,205.0,40.12474012474012,1.844074844074844,1.8066528066528067,1.7869022869022868,1.8605619146722165,1.6727405247813412,1.6688500727802038,1.7405247813411078
scna-int8,exp2,tree,on,16,8,20,702.0,702.0,706.05,701.5,703.0,976.5,991.2,948.925,980.5,455.0,381.0,4.0,130.0,96.0,6.5,4.0,2.0,4.0,8.0,18.0,193.0,226.0,274.5,54.27350427350427,1.5106837606837606,1.4793447293447293,1.4740213523131673,1.4871886120996443,1.3543266769073221,1.3482916879143294,1.3922187171398528
scna-int8,exp2,tree,on,16,16,20,1203.0,1203.0,1275.25,1201.5,1265.5,1487.5,1596.05,1479.0,1506.0,924.5,757.0,8.0,131.5,109.5,11.0,9.0,2.0,10.0,9.0,31.5,192.5,241.0,284.5,62.9260182876143,1.046134663341646,1.3653366583541147,1.2828787111661542,1.394342762063228,1.3294117647058823,1.2886356017432115,1.3394142914299596
scna-int8,exp2,tree,on,16,32,20,2112.0,2112.0,2121.0,2111.5,2114.5,2420.0,2469.35,2399.5,2446.0,1801.0,1504.0,14.0,131.0,97.0,24.0,21.0,5.0,20.5,10.0,18.0,193.0,228.0,308.0,71.21212121212122,0.943655303030303,1.191287878787879,1.1885343485054303,1.1933727810650887,1.18801652892562,1.1724279835390947,1.2064609650031062
scna-int8,exp2,tree,on,32,4,20,507.0,507.0,530.2,506.0,520.0,742.0,778.1,722.5,766.5,264.0,225.0,2.0,130.0,104.0,3.0,1.0,0.0,4.0,8.5,25.0,193.0,234.0,235.0,44.37869822485207,1.7495069033530573,1.722879684418146,1.659199351499657,1.7322883226714134,1.603099730458221,1.5117801047120418,1.6516931582584657
scna-int8,exp2,tree,on,32,8,20,794.5,794.5,802.0,771.0,798.0,993.5,1041.0,984.5,996.5,526.0,442.0,4.0,132.5,113.0,7.0,4.0,2.0,4.0,9.0,38.0,193.0,245.5,199.0,55.63247325361863,1.3348017621145374,1.4650723725613592,1.4545454545454546,1.512970168612192,1.4765978862606945,1.4452261306532663,1.5161943319838056
scna-int8,exp2,tree,on,32,16,20,1348.5,1348.5,1406.1,1343.5,1402.0,1664.0,1735.15,1653.0,1689.0,1058.5,883.0,8.0,134.0,116.5,11.0,9.0,2.0,10.0,9.0,41.0,192.0,250.5,315.5,65.48016314423434,0.9332591768631813,1.3566926214312198,1.3048567044885437,1.3639405204460966,1.2785456730769231,1.2551791676186406,1.2891972489527854
scna-int8,exp2,tree,on,32,32,20,2481.5,2481.5,2495.3,2475.5,2485.0,2784.5,2830.3,2771.0,2801.5,2115.5,1760.0,14.0,149.0,135.0,24.0,20.0,4.0,20.0,9.0,74.0,193.0,284.0,303.0,70.92484384444892,0.8031432601249244,1.1892000805964134,1.185938177412582,1.1937085121280515,1.1820793679296104,1.1745604592752064,1.190666752473142
