mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,4,4096,12,2,128,warmup,0,5209,0
scna-int8,4,4096,12,2,128,warmup,1,5169,0
scna-int8,4,4096,12,2,128,warmup,2,5232,0
scna-int8,4,4096,12,2,128,warmup,3,5583,0
scna-int8,4,4096,12,2,128,warmup,4,5522,0
scna-int8,4,4096,12,2,128,measure,0,5440,0
scna-int8,4,4096,12,2,128,measure,1,5484,0
scna-int8,4,4096,12,2,128,measure,2,5483,0
scna-int8,4,4096,12,2,128,measure,3,5461,0
scna-int8,4,4096,12,2,128,measure,4,5569,0
scna-int8,4,4096,12,2,128,measure,5,5461,0
scna-int8,4,4096,12,2,128,measure,6,5403,0
scna-int8,4,4096,12,2,128,measure,7,5410,0
scna-int8,4,4096,12,2,128,measure,8,5525,0
scna-int8,4,4096,12,2,128,measure,9,5421,0
scna-int8,4,4096,12,2,128,measure,10,5554,0
scna-int8,4,4096,12,2,128,measure,11,5492,0
scna-int8,4,4096,12,2,128,measure,12,5454,0
scna-int8,4,4096,12,2,128,measure,13,5532,0
scna-int8,4,4096,12,2,128,measure,14,5390,0
scna-int8,4,4096,12,2,128,measure,15,5481,0
scna-int8,4,4096,12,2,128,measure,16,5406,0
scna-int8,4,4096,12,2,128,measure,17,5287,0
scna-int8,4,4096,12,2,128,measure,18,5410,0
scna-int8,4,4096,12,2,128,measure,19,5325,0
