mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,8,4096,12,2,128,warmup,0,1222,0
baseline,8,4096,12,2,128,warmup,1,1133,0
baseline,8,4096,12,2,128,warmup,2,1139,0
baseline,8,4096,12,2,128,warmup,3,1217,0
baseline,8,4096,12,2,128,warmup,4,1232,0
baseline,8,4096,12,2,128,measure,0,1210,0
baseline,8,4096,12,2,128,measure,1,1192,0
baseline,8,4096,12,2,128,measure,2,1201,0
baseline,8,4096,12,2,128,measure,3,1283,0
baseline,8,4096,12,2,128,measure,4,1320,0
baseline,8,4096,12,2,128,measure,5,1191,0
baseline,8,4096,12,2,128,measure,6,1287,0
baseline,8,4096,12,2,128,measure,7,1321,0
baseline,8,4096,12,2,128,measure,8,1317,0
baseline,8,4096,12,2,128,measure,9,1322,0
baseline,8,4096,12,2,128,measure,10,1202,0
baseline,8,4096,12,2,128,measure,11,1279,0
baseline,8,4096,12,2,128,measure,12,1307,0
baseline,8,4096,12,2,128,measure,13,1437,0
baseline,8,4096,12,2,128,measure,14,1424,0
baseline,8,4096,12,2,128,measure,15,1476,0
baseline,8,4096,12,2,128,measure,16,1411,0
baseline,8,4096,12,2,128,measure,17,1361,0
baseline,8,4096,12,2,128,measure,18,1481,0
baseline,8,4096,12,2,128,measure,19,1372,0
