mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_rmse,micro_max_abs_error,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,baseline_speedup
scna-fp16,16,16,1,20,1873.0,1873.0,1899.0,2185.5,2185.5,2255.8,71.0,0.000378106,0.00301601,1054.0,849.0,8.0,421.5,352.0,12.0,11.0,0.7311799252536039
scna-fp16,16,32,1,20,2466.5,2466.5,2485.55,2800.0,2800.0,2836.65,116.0,8.59679e-05,0.000488281,1618.0,1420.5,8.0,445.0,356.0,12.0,12.0,0.5552402189337118
scna-fp16,16,8,1,20,1516.0,1516.0,1594.2,1835.5,1835.5,1951.5,40.0,0.00231996,0.0185189,791.0,607.0,8.0,359.5,327.5,12.0,11.0,0.9033641160949868
scna-fp16,32,16,1,20,2852.0,2852.0,2874.4,3225.0,3225.0,3275.05,71.0,0.000378106,0.00301601,2077.5,1682.0,16.0,321.5,364.0,24.0,23.0,0.6693548387096774
scna-fp16,32,32,1,20,3851.5,3851.5,3865.8,4211.5,4211.5,4268.5,116.0,8.59679e-05,0.000488281,3223.5,2826.5,15.0,169.0,370.0,24.0,23.5,0.4956510450473841
scna-fp16,32,8,1,20,2400.5,2400.5,2428.25,2773.0,2773.0,2814.85,40.0,0.00231996,0.0185189,1587.0,1206.0,15.0,395.5,333.5,24.0,22.0,0.7952509893772131
scna-fp16,4,16,1,20,771.5,771.5,780.15,1020.5,1020.5,1095.2,71.0,0.000378106,0.00301601,259.0,218.0,2.0,258.5,237.0,4.0,3.0,0.9708360337005832
scna-fp16,4,32,1,20,1116.0,1116.0,1188.05,1431.0,1431.0,1517.2,116.0,8.59679e-05,0.000488281,413.0,367.0,2.0,360.0,330.5,4.0,4.0,0.671146953405018
scna-fp16,4,8,1,20,856.0,856.0,925.95,1131.5,1131.5,1244.3,40.0,0.00231996,0.0185189,206.0,158.0,2.0,326.0,307.5,4.0,4.0,0.875
scna-fp16,8,16,1,20,1301.5,1301.5,1315.05,1595.5,1595.5,1671.55,71.0,0.000378106,0.00301601,537.0,431.5,4.0,387.0,345.5,8.0,8.5,0.6968882059162504
scna-fp16,8,32,1,20,1408.0,1408.0,1496.55,1703.0,1703.0,1863.0,116.0,8.59679e-05,0.000488281,842.0,725.0,4.0,175.0,359.5,8.0,9.0,0.6441761363636364
scna-fp16,8,8,1,20,1189.0,1189.0,1203.0,1478.5,1478.5,1562.7,40.0,0.00231996,0.0185189,416.0,313.0,4.0,400.0,343.5,8.0,7.0,0.7628259041211102
scna-int8,16,16,2,20,1659.0,1659.0,1696.5,1976.5,1976.5,2018.0,71.0,0.0126392,0.0128937,1067.0,853.0,8.0,175.0,368.0,12.0,11.0,0.825497287522604
scna-int8,16,32,2,20,2278.5,2278.5,2421.35,2585.5,2585.5,2735.2,116.0,0.0185084,0.0187988,1632.5,1423.0,8.0,224.5,371.0,12.0,14.0,0.6010533245556287
scna-int8,16,8,2,20,1614.0,1614.0,1640.05,1900.0,1900.0,1983.1,40.0,0.0052965,0.0161996,807.0,609.0,8.0,419.0,343.0,12.0,10.0,0.8485130111524164
scna-int8,32,16,2,20,2847.5,2847.5,2896.5,3176.5,3176.5,3265.85,71.0,0.0126392,0.0128937,2062.0,1681.5,16.0,371.5,354.0,24.0,25.0,0.6704126426690079
scna-int8,32,32,2,20,4007.5,4007.5,4070.2,4361.5,4361.5,4445.35,116.0,0.0185084,0.0187988,3214.0,2826.5,16.0,373.5,358.5,24.0,26.0,0.4763568309419838
scna-int8,32,8,2,20,2455.0,2455.0,2464.2,2741.5,2741.5,2832.05,40.0,0.0052965,0.0161996,1597.0,1208.0,14.0,425.5,351.0,24.0,22.0,0.7775967413441955
scna-int8,4,16,2,20,897.0,897.0,924.0500000000001,1190.5,1190.5,1220.35,71.0,0.0126392,0.0128937,264.0,220.0,2.0,304.5,314.0,4.0,4.0,0.835005574136009
scna-int8,4,32,2,20,1025.0,1025.0,1041.05,1291.5,1291.5,1404.4,116.0,0.0185084,0.0187988,462.5,377.0,2.0,177.5,369.5,4.0,6.0,0.7307317073170732
scna-int8,4,8,2,20,942.0,942.0,979.0,1226.5,1226.5,1329.15,40.0,0.0052965,0.0161996,219.0,163.0,2.0,381.0,332.0,4.0,2.0,0.7951167728237792
scna-int8,8,16,2,20,1133.5,1133.5,1231.35,1417.0,1417.0,1533.1,71.0,0.0126392,0.0128937,559.5,436.0,4.0,172.5,360.0,8.0,7.0,0.8001764446404941
scna-int8,8,32,2,20,1496.0,1496.0,1547.1,1792.0,1792.0,1897.1,116.0,0.0185084,0.0187988,819.5,719.0,4.0,308.0,352.0,8.0,9.0,0.6062834224598931
scna-int8,8,8,2,20,1071.0,1071.0,1209.1,1384.5,1384.5,1502.75,40.0,0.0052965,0.0161996,399.0,308.0,4.0,337.5,311.5,8.0,6.0,0.8468720821661998
