candidate_max_abs,candidate_mode,candidate_nonfinite,candidate_rms,elements,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,max_rel_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,reference_max_abs,reference_mode,reference_nonfinite,reference_rms,relative_l2,ret,rmse,scna_function,scna_kernel,scna_width,warmup
0.00282288,scna-fp16,0,0.00138283,6144,128,1,4093,2095616,causal,32768,0.00132795,97.1405,scna-fp16,1108,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.948391,0,0.00067424,exp2,tree,8,1
0.00268555,scna-fp16,0,0.00134418,6144,128,1,4093,2095616,full,32768,0.00124634,115.148,scna-fp16,1108,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.948366,0,0.000655434,exp2,tree,8,1
0.00160217,scna-fp16,0,0.000656952,3072,64,1,4096,1048576,full,32768,0.000713028,80.8317,scna-fp16,1108,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.928109,0,0.000317992,exp2,tree,8,1
0.00282288,scna-fp16,0,0.00141922,6144,128,1,4093,2095616,padding,32768,0.00133795,120.146,scna-fp16,1108,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.948889,0,0.000692107,exp2,tree,8,1
0.00337601,scna-int8,0,0.00143635,6144,128,1,4093,2095616,causal,32768,0.00205993,550.423,scna-int8,72,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.08009,0,0.000767872,exp2,direct,16,1
0.00326157,scna-int8,0,0.00139525,6144,128,1,4093,2095616,full,32768,0.00198893,641.593,scna-int8,72,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.08188,0,0.000747711,exp2,direct,16,1
0.00170517,scna-int8,0,0.000670432,3072,64,1,4096,1048576,full,32768,0.000871128,179.813,scna-int8,72,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.976742,0,0.000334655,exp2,direct,16,1
0.00354385,scna-int8,0,0.00147291,6144,128,1,4093,2095616,padding,32768,0.00214134,347.652,scna-int8,72,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.07627,0,0.000785019,exp2,direct,16,1
0.00361633,scna-int8,0,0.00148701,6144,128,1,4093,2095616,causal,32768,0.00230026,687.254,scna-int8,104,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.17231,0,0.000833431,exp2,direct,32,1
0.00352478,scna-int8,0,0.00144546,6144,128,1,4093,2095616,full,32768,0.00225214,839.957,scna-int8,104,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.17645,0,0.000813069,exp2,direct,32,1
