alternate_nonfinite,byte_mismatches,candidate_nonfinite,elements,exact_required,function,gate,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,ret,rmse,scna_function,scna_kernel,scna_width,selected_kernel,warmup,width
0,5749,0,6144,0,exp,pass,128,1,4093,2095616,causal,32768,4.95911e-05,scna-fp16,1236,12,2,0,3224,10,233856,24576,4,0,1.0329e-05,exp,tree,8,tree,1,8
0,5830,0,6144,0,exp,pass,128,1,4093,2095616,full,32768,4.95911e-05,scna-fp16,1236,12,2,0,3224,10,233856,24576,4,0,1.05025e-05,exp,tree,8,tree,1,8
0,2861,0,3072,0,exp,pass,64,1,4096,1048576,full,32768,3.05176e-05,scna-fp16,1236,12,2,0,3224,10,233856,12288,4,0,5.39663e-06,exp,tree,8,tree,1,8
0,5668,0,6144,0,exp,pass,128,1,4093,2095616,padding,32768,4.95911e-05,scna-fp16,1236,12,2,0,3224,10,233856,24576,4,0,1.15533e-05,exp,tree,8,tree,1,8
0,0,0,6144,1,exp,pass,128,1,4093,2095616,causal,32768,0,scna-int8,1224,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,16,tree,1,16
0,0,0,6144,1,exp,pass,128,1,4093,2095616,full,32768,0,scna-int8,1224,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,16,tree,1,16
0,0,0,3072,1,exp,pass,64,1,4096,1048576,full,32768,0,scna-int8,1224,12,2,0,3224,10,233856,12288,4,0,0,exp,tree,16,tree,1,16
0,0,0,6144,1,exp,pass,128,1,4093,2095616,padding,32768,0,scna-int8,1224,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,16,tree,1,16
0,0,0,6144,1,exp,pass,128,1,4093,2095616,causal,32768,0,scna-int8,1256,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,32,tree,1,32
0,0,0,6144,1,exp,pass,128,1,4093,2095616,full,32768,0,scna-int8,1256,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,32,tree,1,32
0,0,0,3072,1,exp,pass,64,1,4096,1048576,full,32768,0,scna-int8,1256,12,2,0,3224,10,233856,12288,4,0,0,exp,tree,32,tree,1,32
0,0,0,6144,1,exp,pass,128,1,4093,2095616,padding,32768,0,scna-int8,1256,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,32,tree,1,32
0,0,0,6144,1,exp,pass,128,1,4093,2095616,causal,32768,0,scna-int8,1240,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,8,tree,1,8
0,0,0,6144,1,exp,pass,128,1,4093,2095616,full,32768,0,scna-int8,1240,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,8,tree,1,8
0,0,0,3072,1,exp,pass,64,1,4096,1048576,full,32768,0,scna-int8,1240,12,2,0,3224,10,233856,12288,4,0,0,exp,tree,8,tree,1,8
0,0,0,6144,1,exp,pass,128,1,4093,2095616,padding,32768,0,scna-int8,1240,12,2,0,3224,10,233856,24576,4,0,0,exp,tree,8,tree,1,8
