core_o0_bits,head_dim,inv_l0_bits,iters,kv_head,kv_len,kv_size,l0_bits,mask_mode,mask_size,mode,mode_flags,n_heads,n_kv_heads,p0_first_bits,p0_last_bits,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,rowsum0_bits,scaled_o0_bits,scna_function,scna_kernel,scna_width,sum0_first_bits,sum0_last_bits,warmup
0x4369,128,0x1040,1,0,4093,2095616,0x677e,padding,32768,scna-fp16,1108,12,2,0x3b36,0x0,0,3224,10,233856,24576,4,0x677e,0x17e0,exp2,tree,8,0x42ebb881,0x44efb3d4,1
0x42d3,128,0x1058,1,0,4093,2095616,0x675a,causal,32768,scna-int8,72,12,2,0x3ae8,0x0,0,3224,10,233856,24576,4,0x675a,0x1769,exp2,direct,16,0x42e79501,0x44eb4cc7,1
0x42f8,128,0x1050,1,0,4093,2095616,0x675d,full,32768,scna-int8,72,12,2,0x3ae8,0x0,0,3224,10,233856,24576,4,0x675d,0x1783,exp2,direct,16,0x42e79501,0x44eba787,1
0x3cb1,64,0x1090,1,0,4096,1048576,0x66fe,full,32768,scna-int8,72,12,2,0x39ec,0x3a6a,0,3224,10,233856,12288,4,0x66fe,0x115a,exp2,direct,16,0x42da6a81,0x44dfb57e,1
0x42d3,128,0x1058,1,0,4093,2095616,0x675a,padding,32768,scna-int8,72,12,2,0x3ae8,0x0,0,3224,10,233856,24576,4,0x675a,0x1769,exp2,direct,16,0x42e79501,0x44eb4cc7,1
0x4290,128,0x1088,1,0,4093,2095616,0x6706,causal,32768,scna-int8,104,12,2,0x3ab1,0x0,0,3224,10,233856,24576,4,0x6706,0x176f,exp2,direct,32,0x42e26e01,0x44e0ca81,1
0x42b6,128,0x1088,1,0,4093,2095616,0x6709,full,32768,scna-int8,104,12,2,0x3ab1,0x0,0,3224,10,233856,24576,4,0x6709,0x179a,exp2,direct,32,0x42e26e01,0x44e12401,1
0x3c54,64,0x10dc,1,0,4096,1048576,0x669d,full,32768,scna-int8,104,12,2,0x3988,0x3a1c,0,3224,10,233856,12288,4,0x669d,0x1142,exp2,direct,32,0x42d2f701,0x44d3a911,1
0x4290,128,0x1088,1,0,4093,2095616,0x6706,padding,32768,scna-int8,104,12,2,0x3ab1,0x0,0,3224,10,233856,24576,4,0x6706,0x176f,exp2,direct,32,0x42e26e01,0x44e0ca81,1
0x433f,128,0x1034,1,0,4093,2095616,0x6796,causal,32768,scna-int8,88,12,2,0x3b3f,0x0,0,3224,10,233856,24576,4,0x6796,0x179d,exp2,direct,8,0x42ef4801,0x44f2b398,1
0x4363,128,0x1034,1,0,4093,2095616,0x6799,full,32768,scna-int8,88,12,2,0x3b3f,0x0,0,3224,10,233856,24576,4,0x6799,0x17c3,exp2,direct,8,0x42ef4801,0x44f31018,1
0x3d46,64,0x105c,1,0,4096,1048576,0x6751,full,32768,scna-int8,88,12,2,0x3a8d,0x3ae6,0,3224,10,233856,12288,4,0x6751,0x11bf,exp2,direct,8,0x42e5fe01,0x44ea11b5,1
0x433f,128,0x1034,1,0,4093,2095616,0x6796,padding,32768,scna-int8,88,12,2,0x3b3f,0x0,0,3224,10,233856,24576,4,0x6796,0x179d,exp2,direct,8,0x42ef4801,0x44f2b398,1
0x42d3,128,0x1058,1,0,4093,2095616,0x675a,causal,32768,scna-int8,1096,12,2,0x3ae8,0x0,0,3224,10,233856,24576,4,0x675a,0x1769,exp2,tree,16,0x42e79501,0x44eb4cc7,1
0x42f8,128,0x1050,1,0,4093,2095616,0x675d,full,32768,scna-int8,1096,12,2,0x3ae8,0x0,0,3224,10,233856,24576,4,0x675d,0x1783,exp2,tree,16,0x42e79501,0x44eba787,1
0x3cb1,64,0x1090,1,0,4096,1048576,0x66fe,full,32768,scna-int8,1096,12,2,0x39ec,0x3a6a,0,3224,10,233856,12288,4,0x66fe,0x115a,exp2,tree,16,0x42da6a81,0x44dfb57e,1
0x42d3,128,0x1058,1,0,4093,2095616,0x675a,padding,32768,scna-int8,1096,12,2,0x3ae8,0x0,0,3224,10,233856,24576,4,0x675a,0x1769,exp2,tree,16,0x42e79501,0x44eb4cc7,1
0x4290,128,0x1088,1,0,4093,2095616,0x6706,causal,32768,scna-int8,1128,12,2,0x3ab1,0x0,0,3224,10,233856,24576,4,0x6706,0x176f,exp2,tree,32,0x42e26e01,0x44e0ca81,1
0x42b6,128,0x1088,1,0,4093,2095616,0x6709,full,32768,scna-int8,1128,12,2,0x3ab1,0x0,0,3224,10,233856,24576,4,0x6709,0x179a,exp2,tree,32,0x42e26e01,0x44e12401,1
0x3c54,64,0x10dc,1,0,4096,1048576,0x669d,full,32768,scna-int8,1128,12,2,0x3988,0x3a1c,0,3224,10,233856,12288,4,0x669d,0x1142,exp2,tree,32,0x42d2f701,0x44d3a911,1
0x4290,128,0x1088,1,0,4093,2095616,0x6706,padding,32768,scna-int8,1128,12,2,0x3ab1,0x0,0,3224,10,233856,24576,4,0x6706,0x176f,exp2,tree,32,0x42e26e01,0x44e0ca81,1
0x433f,128,0x1034,1,0,4093,2095616,0x6796,causal,32768,scna-int8,1112,12,2,0x3b3f,0x0,0,3224,10,233856,24576,4,0x6796,0x179d,exp2,tree,8,0x42ef4801,0x44f2b398,1
0x4363,128,0x1034,1,0,4093,2095616,0x6799,full,32768,scna-int8,1112,12,2,0x3b3f,0x0,0,3224,10,233856,24576,4,0x6799,0x17c3,exp2,tree,8,0x42ef4801,0x44f31018,1
0x3d46,64,0x105c,1,0,4096,1048576,0x6751,full,32768,scna-int8,1112,12,2,0x3a8d,0x3ae6,0,3224,10,233856,12288,4,0x6751,0x11bf,exp2,tree,8,0x42e5fe01,0x44ea11b5,1
0x433f,128,0x1034,1,0,4093,2095616,0x6796,padding,32768,scna-int8,1112,12,2,0x3b3f,0x0,0,3224,10,233856,24576,4,0x6796,0x179d,exp2,tree,8,0x42ef4801,0x44f2b398,1
0x4333,128,0x1058,1,0,4093,2095616,0x6755,causal,32768,scna-fp16,196,12,2,0x3b08,0x0,0,3224,10,233856,24576,4,0x6755,0x17d1,exp,direct,16,0x42e73401,0x44ea941c,1
0x4357,128,0x1058,1,0,4093,2095616,0x6757,full,32768,scna-fp16,196,12,2,0x3b08,0x0,0,3224,10,233856,24576,4,0x6757,0x17f8,exp,direct,16,0x42e73401,0x44eaedac,1
0x3c61,64,0x1088,1,0,4096,1048576,0x6707,full,32768,scna-fp16,196,12,2,0x3a3b,0x3ab6,0,3224,10,233856,12288,4,0x6707,0x10f6,exp,direct,16,0x42dc2001,0x44e0d35a,1
0x4333,128,0x1058,1,0,4093,2095616,0x6755,padding,32768,scna-fp16,196,12,2,0x3b08,0x0,0,3224,10,233856,24576,4,0x6755,0x17d1,exp,direct,16,0x42e73401,0x44ea941c,1
0x42f5,128,0x1084,1,0,4093,2095616,0x6715,causal,32768,scna-fp16,228,12,2,0x3ac6,0x0,0,3224,10,233856,24576,4,0x6715,0x17db,exp,direct,32,0x42e07901,0x44e29c72,1
0x4319,128,0x107c,1,0,4093,2095616,0x6718,full,32768,scna-fp16,228,12,2,0x3ac6,0x0,0,3224,10,233856,24576,4,0x6718,0x17f5,exp,direct,32,0x42e07901,0x44e2f442,1
0x3ba4,64,0x10bc,1,0,4096,1048576,0x66be,full,32768,scna-fp16,228,12,2,0x39c0,0x3a5c,0,3224,10,233856,12288,4,0x66be,0x1086,exp,direct,32,0x42d25e81,0x44d7b7fc,1
0x42f5,128,0x1084,1,0,4093,2095616,0x6715,padding,32768,scna-fp16,228,12,2,0x3ac6,0x0,0,3224,10,233856,24576,4,0x6715,0x17db,exp,direct,32,0x42e07901,0x44e29c72,1
0x4398,128,0x1034,1,0,4093,2095616,0x6796,causal,32768,scna-fp16,212,12,2,0x3b62,0x0,0,3224,10,233856,24576,4,0x6796,0x17fb,exp,direct,8,0x42f02e81,0x44f2b568,1
0x43ba,128,0x1034,1,0,4093,2095616,0x6799,full,32768,scna-fp16,212,12,2,0x3b62,0x0,0,3224,10,233856,24576,4,0x6799,0x180f,exp,direct,8,0x42f02e81,0x44f31150,1
0x3d33,64,0x1044,1,0,4096,1048576,0x6771,full,32768,scna-fp16,212,12,2,0x3adf,0x3b2d,0,3224,10,233856,12288,4,0x6771,0x118b,exp,direct,8,0x42e91c81,0x44ee2380,1
0x4398,128,0x1034,1,0,4093,2095616,0x6796,padding,32768,scna-fp16,212,12,2,0x3b62,0x0,0,3224,10,233856,24576,4,0x6796,0x17fb,exp,direct,8,0x42f02e81,0x44f2b568,1
