mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,8,16,4096,12,2,128,warmup,0,1756,0
scna-int8,8,16,4096,12,2,128,warmup,1,1775,0
scna-int8,8,16,4096,12,2,128,warmup,2,1766,0
scna-int8,8,16,4096,12,2,128,warmup,3,1766,0
scna-int8,8,16,4096,12,2,128,warmup,4,1767,0
scna-int8,8,16,4096,12,2,128,measure,0,1866,0
scna-int8,8,16,4096,12,2,128,measure,1,1816,0
scna-int8,8,16,4096,12,2,128,measure,2,1906,0
scna-int8,8,16,4096,12,2,128,measure,3,1854,0
scna-int8,8,16,4096,12,2,128,measure,4,1894,0
scna-int8,8,16,4096,12,2,128,measure,5,1880,0
scna-int8,8,16,4096,12,2,128,measure,6,1870,0
scna-int8,8,16,4096,12,2,128,measure,7,1819,0
scna-int8,8,16,4096,12,2,128,measure,8,1883,0
scna-int8,8,16,4096,12,2,128,measure,9,1920,0
scna-int8,8,16,4096,12,2,128,measure,10,1938,0
scna-int8,8,16,4096,12,2,128,measure,11,1983,0
scna-int8,8,16,4096,12,2,128,measure,12,1977,0
scna-int8,8,16,4096,12,2,128,measure,13,1865,0
scna-int8,8,16,4096,12,2,128,measure,14,1860,0
scna-int8,8,16,4096,12,2,128,measure,15,1930,0
scna-int8,8,16,4096,12,2,128,measure,16,1962,0
scna-int8,8,16,4096,12,2,128,measure,17,1973,0
scna-int8,8,16,4096,12,2,128,measure,18,1928,0
scna-int8,8,16,4096,12,2,128,measure,19,1985,0
