session,iteration,q,host_elapsed_us,ret
1,18,32,865.0,0
1,19,32,866.0,0
2,0,32,765.0,0
2,1,32,771.0,0
2,2,32,767.0,0
2,3,32,767.0,0
2,4,32,767.0,0
2,5,32,768.0,0
2,6,32,768.0,0
2,7,32,767.0,0
2,8,32,767.0,0
2,9,32,880.0,0
2,10,32,868.0,0
2,11,32,867.0,0
2,12,32,864.0,0
2,13,32,866.0,0
2,14,32,865.0,0
2,15,32,866.0,0
2,16,32,864.0,0
2,17,32,827.0,0
2,18,32,866.0,0
2,19,32,866.0,0
3,0,32,763.0,0
3,1,32,760.0,0
3,2,32,768.0,0
3,3,32,876.0,0
3,4,32,767.0,0
3,5,32,876.0,0
3,6,32,875.0,0
3,7,32,767.0,0
3,8,32,831.0,0
3,9,32,864.0,0
3,10,32,867.0,0
3,11,32,861.0,0
3,12,32,863.0,0
3,13,32,880.0,0
3,14,32,861.0,0
3,15,32,836.0,0
3,16,32,864.0,0
3,17,32,869.0,0
3,18,32,866.0,0
3,19,32,797.0,0
4,0,32,767.0,0
4,1,32,768.0,0
4,2,32,768.0,0
4,3,32,766.0,0
4,4,32,768.0,0
4,5,32,766.0,0
4,6,32,768.0,0
4,7,32,767.0,0
4,8,32,766.0,0
4,9,32,767.0,0
4,10,32,872.0,0
4,11,32,866.0,0
4,12,32,865.0,0
4,13,32,865.0,0
4,14,32,864.0,0
4,15,32,864.0,0
4,16,32,867.0,0
4,17,32,864.0,0
4,18,32,866.0,0
4,19,32,863.0,0
5,0,32,768.0,0
5,1,32,767.0,0
5,2,32,747.0,0
5,3,32,782.0,0
5,4,32,763.0,0
5,5,32,762.0,0
5,6,32,741.0,0
5,7,32,767.0,0
5,8,32,792.0,0
5,9,32,836.0,0
5,10,32,836.0,0
5,11,32,817.0,0
5,12,32,806.0,0
5,13,32,835.0,0
5,14,32,835.0,0
5,15,32,833.0,0
5,16,32,833.0,0
5,17,32,835.0,0
5,18,32,834.0,0
5,19,32,834.0,0
