mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,32,4096,12,2,128,warmup,0,2417,0
scna-int8,32,4096,12,2,128,warmup,1,2532,0
scna-int8,32,4096,12,2,128,warmup,2,2524,0
scna-int8,32,4096,12,2,128,warmup,3,2513,0
scna-int8,32,4096,12,2,128,warmup,4,2505,0
scna-int8,32,4096,12,2,128,measure,0,2619,0
scna-int8,32,4096,12,2,128,measure,1,2624,0
scna-int8,32,4096,12,2,128,measure,2,2617,0
scna-int8,32,4096,12,2,128,measure,3,2611,0
scna-int8,32,4096,12,2,128,measure,4,2636,0
scna-int8,32,4096,12,2,128,measure,5,2714,0
scna-int8,32,4096,12,2,128,measure,6,2639,0
scna-int8,32,4096,12,2,128,measure,7,2634,0
scna-int8,32,4096,12,2,128,measure,8,2636,0
scna-int8,32,4096,12,2,128,measure,9,2648,0
scna-int8,32,4096,12,2,128,measure,10,2682,0
scna-int8,32,4096,12,2,128,measure,11,2637,0
scna-int8,32,4096,12,2,128,measure,12,2665,0
scna-int8,32,4096,12,2,128,measure,13,2657,0
scna-int8,32,4096,12,2,128,measure,14,2511,0
scna-int8,32,4096,12,2,128,measure,15,2514,0
scna-int8,32,4096,12,2,128,measure,16,2596,0
scna-int8,32,4096,12,2,128,measure,17,2677,0
scna-int8,32,4096,12,2,128,measure,18,2634,0
scna-int8,32,4096,12,2,128,measure,19,2619,0
