mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,8,4096,12,2,128,warmup,0,1098,0
lut-exp,8,4096,12,2,128,warmup,1,1174,0
lut-exp,8,4096,12,2,128,warmup,2,1196,0
lut-exp,8,4096,12,2,128,warmup,3,1148,0
lut-exp,8,4096,12,2,128,warmup,4,1202,0
lut-exp,8,4096,12,2,128,measure,0,1212,0
lut-exp,8,4096,12,2,128,measure,1,1206,0
lut-exp,8,4096,12,2,128,measure,2,1174,0
lut-exp,8,4096,12,2,128,measure,3,1205,0
lut-exp,8,4096,12,2,128,measure,4,1222,0
lut-exp,8,4096,12,2,128,measure,5,1204,0
lut-exp,8,4096,12,2,128,measure,6,1225,0
lut-exp,8,4096,12,2,128,measure,7,1203,0
lut-exp,8,4096,12,2,128,measure,8,1211,0
lut-exp,8,4096,12,2,128,measure,9,1207,0
lut-exp,8,4096,12,2,128,measure,10,1345,0
lut-exp,8,4096,12,2,128,measure,11,1293,0
lut-exp,8,4096,12,2,128,measure,12,1368,0
lut-exp,8,4096,12,2,128,measure,13,1344,0
lut-exp,8,4096,12,2,128,measure,14,1370,0
lut-exp,8,4096,12,2,128,measure,15,1356,0
lut-exp,8,4096,12,2,128,measure,16,1248,0
lut-exp,8,4096,12,2,128,measure,17,1249,0
lut-exp,8,4096,12,2,128,measure,18,1375,0
lut-exp,8,4096,12,2,128,measure,19,1346,0
