mode,function,kernel,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p50_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,scna_share_pct,host_control_median_us,micro_single_ns_per_vector,micro_pair_ns_per_vector,micro_rmse,micro_max_abs,micro_dense_rmse,micro_dense_max_abs,micro_direct_tree_max_abs,baseline_speedup
scna-fp16,exp2,tree,16,32,20,2511.5,2511.5,2551.4,2474.5,2526.0,2823.0,2823.0,2938.25,2774.0,2879.5,1646.5,1251.0,15.0,427.0,354.0,24.0,23.0,49.81086999800916,311.5,48.47,28.875,0.000355194,0.0028329,0.00255669,0.047776,0.000732422,0.7632888711925144
scna-fp16,exp2,tree,32,4,20,819.0,819.0,862.0,811.0,824.0,1085.0,1085.0,1135.05,1065.5,1117.0,255.0,211.0,2.0,289.5,262.5,4.0,2.0,25.763125763125764,266.0,62.91,43.835,6.39064e-05,0.000488281,0.000564,0.0126192,0.000976562,0.931013431013431
scna-fp16,exp2,tree,32,8,20,1154.0,1154.0,1279.05,1146.0,1203.5,1418.0,1418.0,1574.7,1408.0,1484.5,502.0,413.0,4.0,327.0,304.0,8.0,6.0,35.788561525129985,264.0,62.91,43.835,6.39064e-05,0.000488281,0.000564,0.0126192,0.000976562,0.8102253032928943
scna-fp16,exp2,tree,32,16,20,1817.0,1817.0,1866.05,1728.5,1833.5,2098.0,2098.0,2188.2,1984.5,2145.0,1017.5,825.0,8.0,409.0,344.0,12.0,10.0,45.404512933406714,281.0,62.91,43.835,6.39064e-05,0.000488281,0.000564,0.0126192,0.000976562,0.7336268574573472
scna-fp16,exp2,tree,32,32,20,2674.5,2674.5,2821.6,2667.5,2726.5,3036.0,3036.0,3170.75,3003.5,3065.0,1977.5,1618.5,15.0,317.5,298.5,24.0,22.5,60.51598429613012,361.5,62.91,43.835,6.39064e-05,0.000488281,0.000564,0.0126192,0.000976562,0.7167694896242288
scna-int8,exp,direct,8,4,20,865.5,865.5,922.4,848.5,914.0,1144.0,1144.0,1212.85,1141.5,1189.5,214.5,169.0,2.0,327.5,316.0,4.0,3.0,19.526285384171,278.5,46.41,27.845,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.8809936452917388
scna-int8,exp,direct,8,8,20,1151.0,1151.0,1169.1,1113.5,1159.5124999999998,1457.0,1457.0,1502.7,1396.0,1472.5,438.0,335.0,4.0,360.5,325.0,8.0,8.0,29.105125977410946,306.0,46.41,27.845,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.8123370981754996
scna-int8,exp,direct,8,16,20,1583.0,1583.0,1589.0,1575.0,1585.0,1873.0,1873.0,1928.2,1857.0,1881.0,846.0,656.0,8.0,367.0,324.5,12.0,11.0,41.44030322173089,290.0,46.41,27.845,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.8420720151610865
scna-int8,exp,direct,8,32,20,2489.0,2489.0,2502.35,2483.0,2496.5,2786.5,2786.5,2893.2,2771.5,2826.5,1680.5,1306.0,15.0,384.5,332.0,24.0,24.0,52.47087183607874,297.5,46.41,27.845,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.7701888308557654
scna-int8,exp,direct,16,4,20,923.5,923.5,978.55,901.5,931.5,1163.0,1163.0,1278.6,1161.0,1194.0,257.0,213.0,2.0,334.0,316.5,4.0,3.0,23.064428803465077,239.5,68.06,41.77,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.8256632376827288
scna-int8,exp,direct,16,8,20,1179.0,1179.0,1211.0,1162.5,1184.5,1458.0,1458.0,1543.8,1426.5,1511.0,510.0,418.0,4.0,318.0,316.0,8.0,8.0,35.453774385072094,279.0,68.06,41.77,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.7930449533502969
scna-int8,exp,direct,16,16,20,1751.5,1751.5,1781.05,1744.0,1770.0,2069.5,2069.5,2132.95,2008.0,2108.0,1018.5,829.5,8.0,363.0,327.0,12.0,11.0,47.35940622323722,318.0,68.06,41.77,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.7610619469026548
scna-int8,exp,direct,16,32,20,2667.5,2667.5,2785.05,2660.5,2726.5,3027.5,3027.5,3155.95,2972.5,3055.0,2013.0,1644.5,15.0,287.5,280.0,24.0,24.0,61.649484536082475,360.0,68.06,41.77,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.7186504217432053
scna-int8,exp,direct,32,4,20,1011.0,1011.0,1037.05,956.0,1014.5,1306.0,1306.0,1329.45,1227.0,1314.5,342.0,297.0,2.0,331.0,314.0,4.0,5.0,29.376854599406528,295.0,124.28,69.1,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.7542037586547973
scna-int8,exp,direct,32,8,20,1323.0,1323.0,1428.05,1314.0,1352.5,1602.5,1602.5,1702.5,1591.5,1663.0,672.0,581.0,4.0,321.0,313.0,8.0,8.0,43.91534391534392,279.5,124.28,69.1,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.7067271352985639
scna-int8,exp,direct,32,16,20,2102.0,2102.0,2117.9,2094.5,2105.5,2415.5,2415.5,2482.15,2390.5,2433.0,1336.0,1153.0,8.0,386.5,331.0,12.0,14.0,54.85252140818268,313.5,124.28,69.1,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.6341579448144624
scna-int8,exp,direct,32,32,20,3475.5,3475.5,3489.15,3460.5,3483.0,3812.0,3812.0,3872.9,3769.0,3840.0,2667.0,2290.0,15.0,379.0,337.5,24.0,26.0,65.88980002877284,336.5,124.28,69.1,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.551575312904618
scna-int8,exp,tree,8,4,20,947.5,947.5,963.45,905.0,956.5,1214.5,1214.5,1265.7,1165.0,1232.0,245.0,188.5,2.0,363.5,325.0,4.0,3.5,19.894459102902374,267.0,54.66,32.485,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.8047493403693932
scna-int8,exp,tree,8,8,20,1183.0,1183.0,1192.0,1171.5,1185.5,1485.0,1485.0,1534.35,1467.0,1501.0,455.0,355.5,4.0,369.5,328.0,8.0,7.0,30.050718512256974,302.0,54.66,32.485,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.790363482671175
scna-int8,exp,tree,8,16,20,1634.5,1634.5,1645.0,1616.0,1638.0,1907.5,1907.5,2002.2,1887.5,1952.5,886.0,696.0,8.0,368.0,331.0,12.0,11.0,42.58182930559804,273.0,54.66,32.485,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.815539920464974
