mode,function,kernel,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p50_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,scna_share_pct,host_control_median_us,micro_single_ns_per_vector,micro_pair_ns_per_vector,micro_rmse,micro_max_abs,micro_dense_rmse,micro_dense_max_abs,micro_direct_tree_max_abs,baseline_speedup
scna-fp16,exp,direct,16,16,20,1704.5,1704.5,1786.1,1657.0,1759.0,1994.5,1994.5,2136.35,1976.5,2033.5,1064.5,890.0,8.0,305.0,287.5,12.0,12.0,52.21472572601936,290.0,71.16,47.445,0.000244954,0.00195909,0.00432045,0.0858521,0.000732422,0.7820475212672338
scna-fp16,exp,direct,16,32,20,2839.5,2839.5,2847.05,2834.0,2844.0,3167.0,3167.0,3225.0,3158.5,3185.0,2150.0,1772.0,15.0,309.5,292.5,24.0,25.0,62.405353055115334,327.5,71.16,47.445,0.000244954,0.00195909,0.00432045,0.0858521,0.000732422,0.6751188589540412
scna-fp16,exp,direct,32,4,20,1126.5,1126.5,1153.05,1006.5,1137.0,1383.0,1383.0,1485.5,1317.0,1443.5,424.0,375.0,2.0,361.5,327.5,4.0,4.0,33.28894806924101,256.5,117.58,91.79,3.50919e-05,0.000280622,0.00105269,0.0258867,0.000488281,0.6768752774079005
scna-fp16,exp,direct,32,8,20,1564.0,1564.0,1573.0,1558.5,1566.5,1867.0,1867.0,1909.85,1860.0,1877.5,830.5,732.0,4.0,374.5,328.5,8.0,9.0,46.80306905370844,303.0,117.58,91.79,3.50919e-05,0.000280622,0.00105269,0.0258867,0.000488281,0.5978260869565217
scna-fp16,exp,direct,32,16,20,2380.5,2380.5,2394.0,2377.0,2386.0,2654.5,2654.5,2746.7,2644.5,2687.5,1635.0,1446.0,8.0,364.0,338.0,13.0,14.0,60.74354127284184,274.0,117.58,91.79,3.50919e-05,0.000280622,0.00105269,0.0258867,0.000488281,0.5599663936147868
scna-fp16,exp,direct,32,32,20,4042.0,4042.0,4064.35,4021.5,4057.0,4365.5,4365.5,4452.55,4345.5,4395.5,3251.5,2872.5,15.0,372.5,328.5,24.0,26.0,71.06630380999505,323.5,117.58,91.79,3.50919e-05,0.000280622,0.00105269,0.0258867,0.000488281,0.4742701632855022
scna-fp16,exp,tree,8,4,20,920.5,920.5,926.1,913.0,923.5,1188.0,1188.0,1198.0,1183.5,1191.0,216.0,159.0,2.0,363.0,325.5,4.0,4.0,17.273221075502445,267.5,40.22,22.69,0.00168709,0.0134947,0.0164817,0.239742,0.000488281,0.8283541553503531
scna-fp16,exp,tree,8,8,20,1089.5,1089.5,1131.05,1083.0,1098.0,1374.5,1374.5,1426.9,1361.0,1387.5,389.0,291.0,4.0,349.0,325.0,8.0,7.0,26.709499770536944,285.0,40.22,22.69,0.00168709,0.0134947,0.0164817,0.239742,0.000488281,0.8581918311151905
scna-fp16,exp,tree,8,16,20,1511.0,1511.0,1523.0,1442.5,1516.5,1782.0,1782.0,1874.65,1730.0,1855.5,764.0,575.0,8.0,370.5,330.5,12.0,11.5,38.054268696227666,271.0,40.22,22.69,0.00168709,0.0134947,0.0164817,0.239742,0.000488281,0.8821972203838517
scna-fp16,exp,tree,8,32,20,2308.0,2308.0,2318.15,2304.0,2313.0,2648.5,2648.5,2688.5,2635.5,2663.5,1501.0,1133.0,15.0,383.0,335.5,24.0,24.0,49.09012131715771,340.5,40.22,22.69,0.00168709,0.0134947,0.0164817,0.239742,0.000488281,0.8305892547660312
scna-fp16,exp,tree,16,4,20,912.0,912.0,936.05,905.5,916.5,1197.0,1197.0,1248.2,1190.0,1221.0,220.5,167.5,2.0,354.5,322.0,5.0,3.0,18.36622807017544,285.0,48.47,28.875,0.000246859,0.00197435,0.00430999,0.0858521,0.000732422,0.8360745614035088
scna-fp16,exp,tree,16,8,20,1131.5,1131.5,1143.15,1120.5,1139.0,1427.0,1427.0,1488.85,1394.4625,1462.0,420.0,322.0,4.0,351.0,329.0,8.0,7.0,28.45779938135219,295.5,48.47,28.875,0.000246859,0.00197435,0.00430999,0.0858521,0.000732422,0.8263367211665931
scna-fp16,exp,tree,16,16,20,1572.0,1572.0,1589.1,1528.5,1583.0,1851.0,1851.0,1929.1,1785.5,1873.0,825.0,634.0,8.0,371.0,332.0,12.0,12.0,40.33078880407125,279.0,48.47,28.875,0.000246859,0.00197435,0.00430999,0.0858521,0.000732422,0.8479643765903307
scna-fp16,exp,tree,16,32,20,2381.0,2381.0,2431.3,2376.0,2387.5,2762.5,2762.5,2792.9,2690.0,2779.0,1616.0,1243.0,15.0,350.5,331.5,24.0,25.0,52.204955900881984,381.5,48.47,28.875,0.000246859,0.00197435,0.00430999,0.0858521,0.000732422,0.8051238975220496
scna-fp16,exp,tree,32,4,20,784.0,784.0,788.2,781.0,786.0,1029.0,1029.0,1105.1,1028.0,1096.5,258.0,211.0,2.0,268.0,246.0,4.0,2.0,26.913265306122447,245.0,62.91,43.835,3.50945e-05,0.000280622,0.00105556,0.0258867,0.000488281,0.9725765306122449
scna-fp16,exp,tree,32,8,20,1129.5,1129.5,1141.15,1083.0,1134.5,1407.5,1407.5,1496.55,1343.0,1449.5,503.5,413.0,4.0,308.0,284.0,8.0,7.0,36.564851704293936,278.0,62.91,43.835,3.50945e-05,0.000280622,0.00105556,0.0258867,0.000488281,0.8277999114652501
scna-fp16,exp,tree,32,16,20,1728.5,1728.5,1766.3,1706.5,1757.0,2020.0,2020.0,2110.05,1995.0,2048.5,1006.5,820.5,8.0,361.0,326.0,12.0,12.0,47.468903673705526,291.5,62.91,43.835,3.50945e-05,0.000280622,0.00105556,0.0258867,0.000488281,0.7711888921029795
scna-fp16,exp,tree,32,32,20,2621.5,2621.5,2629.0,2616.5,2625.5,2965.5,2965.5,3032.75,2918.0,3009.0,1994.0,1617.0,15.0,277.0,263.0,24.0,24.0,61.6822429906542,344.0,62.91,43.835,3.50945e-05,0.000280622,0.00105556,0.0258867,0.000488281,0.7312607285905016
scna-fp16,exp2,direct,8,4,20,835.5,835.5,864.4,794.5,849.5,1120.5,1120.5,1171.75,1096.5,1132.0,212.5,167.0,2.0,305.5,300.5,4.0,3.0,19.988031119090365,285.0,40.22,27.33,0.00231996,0.0185189,0.0106907,0.152344,0.000488281,0.9126271693596649
