mode,function,kernel,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,host_elapsed
baseline,none,none,0,32,1,1912.0,1276.0,0.0,15.0,285.0,266.0,24.0,22.0,2262.0
baseline,none,none,0,32,2,1935.0,1285.0,0.0,15.0,288.0,276.0,24.0,23.0,2255.0
baseline,none,none,0,32,3,1932.0,1286.0,0.0,15.0,284.0,275.0,24.0,23.0,2275.0
baseline,none,none,0,32,4,1926.0,1283.0,0.0,15.0,282.0,275.0,24.0,22.0,2268.0
baseline,none,none,0,32,5,1928.0,1282.0,0.0,15.0,286.0,275.0,24.0,22.0,2267.0
baseline,none,none,0,32,6,1931.0,1284.0,0.0,15.0,286.0,275.0,24.0,24.0,2267.0
baseline,none,none,0,32,7,1932.0,1284.0,0.0,15.0,290.0,273.0,24.0,22.0,2267.0
baseline,none,none,0,32,8,1941.0,1283.0,0.0,15.0,288.0,285.0,24.0,22.0,2260.0
baseline,none,none,0,32,9,1949.0,1287.0,0.0,15.0,288.0,288.0,24.0,23.0,2250.0
baseline,none,none,0,32,10,1921.0,1284.0,0.0,15.0,284.0,268.0,24.0,22.0,2272.0
baseline,none,none,0,32,11,1851.0,1252.0,0.0,15.0,266.0,247.0,24.0,22.0,2227.0
baseline,none,none,0,32,12,1891.0,1277.0,0.0,15.0,269.0,260.0,24.0,22.0,2268.0
baseline,none,none,0,32,13,1909.0,1288.0,0.0,15.0,278.0,259.0,24.0,22.0,2249.0
baseline,none,none,0,32,14,1915.0,1284.0,0.0,16.0,282.0,263.0,24.0,22.0,2311.0
baseline,none,none,0,32,15,1909.0,1281.0,0.0,16.0,279.0,261.0,25.0,23.0,2223.0
baseline,none,none,0,32,16,1916.0,1287.0,0.0,15.0,279.0,263.0,25.0,23.0,2241.0
baseline,none,none,0,32,17,1910.0,1287.0,0.0,15.0,279.0,259.0,24.0,22.0,2273.0
baseline,none,none,0,32,18,1905.0,1287.0,0.0,15.0,273.0,261.0,24.0,22.0,2250.0
baseline,none,none,0,32,19,1918.0,1286.0,0.0,15.0,279.0,268.0,24.0,22.0,2240.0
scna-fp16,exp,direct,8,4,0,773.0,207.0,166.0,2.0,275.0,279.0,4.0,2.0,996.0
scna-fp16,exp,direct,8,4,1,809.0,212.0,166.0,2.0,298.0,287.0,4.0,2.0,1054.0
scna-fp16,exp,direct,8,4,2,829.0,211.0,167.0,2.0,313.0,292.0,4.0,3.0,1051.0
scna-fp16,exp,direct,8,4,3,867.0,212.0,166.0,2.0,322.0,320.0,4.0,2.0,1170.0
scna-fp16,exp,direct,8,4,4,866.0,212.0,166.0,2.0,310.0,331.0,4.0,3.0,1162.0
scna-fp16,exp,direct,8,4,5,876.0,212.0,167.0,2.0,331.0,320.0,4.0,3.0,1165.0
scna-fp16,exp,direct,8,4,6,861.0,212.0,167.0,2.0,306.0,329.0,4.0,3.0,1162.0
scna-fp16,exp,direct,8,4,7,861.0,211.0,166.0,2.0,324.0,314.0,4.0,2.0,1161.0
scna-fp16,exp,direct,8,4,8,867.0,211.0,166.0,2.0,314.0,329.0,4.0,3.0,1165.0
scna-fp16,exp,direct,8,4,9,852.0,212.0,166.0,2.0,325.0,302.0,4.0,3.0,1168.0
scna-fp16,exp,direct,8,4,10,875.0,212.0,167.0,2.0,329.0,322.0,4.0,2.0,1161.0
scna-fp16,exp,direct,8,4,11,853.0,214.0,166.0,2.0,311.0,315.0,4.0,2.0,1163.0
scna-fp16,exp,direct,8,4,12,814.0,211.0,166.0,2.0,300.0,291.0,4.0,2.0,1057.0
scna-fp16,exp,direct,8,4,13,847.0,211.0,166.0,2.0,311.0,313.0,4.0,2.0,1106.0
scna-fp16,exp,direct,8,4,14,849.0,211.0,166.0,2.0,317.0,307.0,4.0,3.0,1131.0
scna-fp16,exp,direct,8,4,15,904.0,223.0,170.0,2.0,347.0,322.0,4.0,2.0,1219.0
scna-fp16,exp,direct,8,4,16,904.0,221.0,170.0,2.0,350.0,320.0,4.0,2.0,1215.0
scna-fp16,exp,direct,8,4,17,903.0,223.0,170.0,2.0,346.0,322.0,4.0,2.0,1191.0
scna-fp16,exp,direct,8,4,18,897.0,223.0,169.0,2.0,346.0,316.0,4.0,2.0,1187.0
scna-fp16,exp,direct,8,4,19,908.0,226.0,170.0,2.0,355.0,315.0,4.0,2.0,1167.0
scna-fp16,exp,direct,8,8,0,1053.0,418.0,327.0,4.0,324.0,284.0,8.0,7.0,1283.0
scna-fp16,exp,direct,8,8,1,1050.0,414.0,327.0,4.0,320.0,290.0,8.0,6.0,1278.0
scna-fp16,exp,direct,8,8,2,1059.0,416.0,327.0,4.0,324.0,292.0,8.0,7.0,1276.0
scna-fp16,exp,direct,8,8,3,1058.0,419.0,327.0,4.0,321.0,291.0,8.0,7.0,1278.0
scna-fp16,exp,direct,8,8,4,1052.0,418.0,327.0,3.0,307.0,301.0,8.0,7.0,1275.0
scna-fp16,exp,direct,8,8,5,1047.0,417.0,327.0,4.0,322.0,281.0,8.0,7.0,1275.0
scna-fp16,exp,direct,8,8,6,1101.0,422.0,328.0,4.0,340.0,312.0,8.0,7.0,1311.0
scna-fp16,exp,direct,8,8,7,1101.0,424.0,328.0,4.0,337.0,313.0,8.0,7.0,1412.0
scna-fp16,exp,direct,8,8,8,1096.0,424.0,329.0,4.0,337.0,308.0,8.0,7.0,1356.0
scna-fp16,exp,direct,8,8,9,1100.0,425.0,329.0,3.0,337.0,312.0,8.0,7.0,1353.0
scna-fp16,exp,direct,8,8,10,1103.0,424.0,329.0,4.0,341.0,311.0,8.0,7.0,1402.0
scna-fp16,exp,direct,8,8,11,1097.0,426.0,329.0,4.0,334.0,310.0,8.0,7.0,1355.0
scna-fp16,exp,direct,8,8,12,1096.0,420.0,329.0,5.0,345.0,303.0,8.0,7.0,1405.0
scna-fp16,exp,direct,8,8,13,1093.0,423.0,328.0,4.0,333.0,310.0,8.0,7.0,1323.0
scna-fp16,exp,direct,8,8,14,1093.0,425.0,328.0,4.0,332.0,309.0,8.0,7.0,1333.0
scna-fp16,exp,direct,8,8,15,1087.0,423.0,328.0,3.0,331.0,307.0,8.0,7.0,1326.0
scna-fp16,exp,direct,8,8,16,1095.0,424.0,329.0,4.0,332.0,313.0,8.0,6.0,1321.0
scna-fp16,exp,direct,8,8,17,1102.0,424.0,329.0,4.0,332.0,319.0,8.0,7.0,1367.0
scna-fp16,exp,direct,8,8,18,1082.0,419.0,328.0,4.0,332.0,304.0,8.0,7.0,1408.0
scna-fp16,exp,direct,8,8,19,1090.0,424.0,328.0,3.0,330.0,311.0,8.0,6.0,1357.0
scna-fp16,exp,direct,8,16,0,1411.0,809.0,646.0,8.0,294.0,266.0,12.0,10.0,1642.0
scna-fp16,exp,direct,8,16,1,1418.0,811.0,648.0,8.0,299.0,265.0,12.0,10.0,1752.0
scna-fp16,exp,direct,8,16,2,1492.0,824.0,648.0,8.0,318.0,308.0,12.0,10.0,1812.0
scna-fp16,exp,direct,8,16,3,1496.0,832.0,648.0,8.0,334.0,288.0,12.0,10.0,1728.0
scna-fp16,exp,direct,8,16,4,1511.0,835.0,648.0,8.0,316.0,318.0,12.0,10.0,1766.0
scna-fp16,exp,direct,8,16,5,1504.0,823.0,647.0,8.0,335.0,303.0,12.0,11.0,1741.0
scna-fp16,exp,direct,8,16,6,1484.0,829.0,647.0,8.0,324.0,289.0,12.0,10.0,1725.0
scna-fp16,exp,direct,8,16,7,1498.0,830.0,649.0,7.0,325.0,300.0,12.0,11.0,1770.0
scna-fp16,exp,direct,8,16,8,1491.0,831.0,648.0,8.0,332.0,284.0,12.0,11.0,1723.0
scna-fp16,exp,direct,8,16,9,1513.0,826.0,648.0,8.0,331.0,314.0,12.0,10.0,1767.0
scna-fp16,exp,direct,8,16,10,1498.0,831.0,648.0,7.0,324.0,302.0,12.0,10.0,1788.0
scna-fp16,exp,direct,8,16,11,1446.0,815.0,648.0,7.0,312.0,278.0,12.0,10.0,1684.0
scna-fp16,exp,direct,8,16,12,1422.0,813.0,647.0,8.0,299.0,268.0,12.0,10.0,1744.0
scna-fp16,exp,direct,8,16,13,1438.0,821.0,647.0,8.0,308.0,266.0,12.0,11.0,1775.0
scna-fp16,exp,direct,8,16,14,1452.0,828.0,646.0,7.0,299.0,283.0,12.0,11.0,1761.0
scna-fp16,exp,direct,8,16,15,1455.0,828.0,647.0,8.0,307.0,277.0,12.0,10.0,1725.0
scna-fp16,exp,direct,8,16,16,1462.0,831.0,647.0,7.0,310.0,279.0,12.0,11.0,1817.0
scna-fp16,exp,direct,8,16,17,1457.0,828.0,647.0,7.0,308.0,280.0,12.0,10.0,1717.0
scna-fp16,exp,direct,8,16,18,1450.0,825.0,646.0,7.0,305.0,279.0,12.0,10.0,1735.0
scna-fp16,exp,direct,8,16,19,1436.0,823.0,646.0,7.0,293.0,278.0,12.0,11.0,1765.0
scna-fp16,exp,direct,8,32,0,2281.0,1631.0,1287.0,15.0,287.0,277.0,24.0,24.0,2557.0
scna-fp16,exp,direct,8,32,1,2349.0,1636.0,1289.0,14.0,341.0,286.0,24.0,24.0,2670.0
scna-fp16,exp,direct,8,32,2,2338.0,1635.0,1289.0,15.0,329.0,287.0,24.0,24.0,2698.0
scna-fp16,exp,direct,8,32,3,2355.0,1651.0,1288.0,15.0,326.0,291.0,24.0,24.0,2688.0
scna-fp16,exp,direct,8,32,4,2355.0,1652.0,1289.0,15.0,325.0,291.0,24.0,24.0,2730.0
scna-fp16,exp,direct,8,32,5,2347.0,1648.0,1289.0,15.0,328.0,284.0,24.0,24.0,2693.0
scna-fp16,exp,direct,8,32,6,2343.0,1643.0,1288.0,15.0,325.0,288.0,24.0,24.0,2696.0
scna-fp16,exp,direct,8,32,7,2348.0,1644.0,1288.0,14.0,328.0,290.0,24.0,24.0,2653.0
scna-fp16,exp,direct,8,32,8,2354.0,1652.0,1287.0,15.0,325.0,291.0,24.0,24.0,2646.0
scna-fp16,exp,direct,8,32,9,2356.0,1654.0,1288.0,15.0,323.0,292.0,24.0,24.0,2629.0
scna-fp16,exp,direct,8,32,10,2355.0,1653.0,1288.0,15.0,324.0,291.0,24.0,24.0,2665.0
scna-fp16,exp,direct,8,32,11,2352.0,1655.0,1288.0,15.0,321.0,289.0,24.0,24.0,2648.0
scna-fp16,exp,direct,8,32,12,2344.0,1647.0,1288.0,15.0,324.0,287.0,24.0,24.0,2598.0
scna-fp16,exp,direct,8,32,13,2353.0,1650.0,1287.0,15.0,327.0,290.0,24.0,24.0,2655.0
scna-fp16,exp,direct,8,32,14,2332.0,1637.0,1288.0,15.0,324.0,285.0,24.0,23.0,2675.0
scna-fp16,exp,direct,8,32,15,2310.0,1640.0,1288.0,15.0,312.0,272.0,24.0,23.0,2587.0
scna-fp16,exp,direct,8,32,16,2324.0,1644.0,1287.0,15.0,318.0,276.0,24.0,24.0,2682.0
scna-fp16,exp,direct,8,32,17,2334.0,1646.0,1287.0,15.0,319.0,283.0,24.0,24.0,2651.0
scna-fp16,exp,direct,8,32,18,2333.0,1647.0,1287.0,14.0,315.0,285.0,24.0,24.0,2692.0
scna-fp16,exp,direct,8,32,19,2338.0,1652.0,1287.0,14.0,318.0,284.0,24.0,23.0,2656.0
scna-fp16,exp,direct,16,4,0,856.0,271.0,229.0,2.0,297.0,274.0,4.0,3.0,1125.0
scna-fp16,exp,direct,16,4,1,858.0,272.0,230.0,2.0,300.0,273.0,4.0,3.0,1112.0
scna-fp16,exp,direct,16,4,2,859.0,271.0,229.0,2.0,293.0,282.0,4.0,2.0,1149.0
scna-fp16,exp,direct,16,4,3,863.0,272.0,229.0,2.0,305.0,273.0,4.0,2.0,1135.0
scna-fp16,exp,direct,16,4,4,860.0,272.0,230.0,2.0,299.0,275.0,4.0,3.0,1104.0
scna-fp16,exp,direct,16,4,5,855.0,271.0,229.0,2.0,296.0,273.0,4.0,4.0,1095.0
scna-fp16,exp,direct,16,4,6,855.0,271.0,230.0,2.0,297.0,273.0,4.0,3.0,1099.0
scna-fp16,exp,direct,16,4,7,853.0,271.0,229.0,2.0,295.0,273.0,4.0,3.0,1098.0
scna-fp16,exp,direct,16,4,8,927.0,280.0,230.0,2.0,333.0,300.0,4.0,3.0,1259.0
scna-fp16,exp,direct,16,4,9,1002.0,290.0,232.0,2.0,371.0,327.0,4.0,3.0,1333.0
scna-fp16,exp,direct,16,4,10,1007.0,289.0,232.0,3.0,374.0,329.0,4.0,3.0,1334.0
scna-fp16,exp,direct,16,4,11,998.0,291.0,233.0,2.0,368.0,326.0,4.0,3.0,1321.0
scna-fp16,exp,direct,16,4,12,999.0,289.0,233.0,2.0,369.0,328.0,4.0,3.0,1321.0
scna-fp16,exp,direct,16,4,13,1017.0,288.0,232.0,2.0,380.0,335.0,4.0,4.0,1333.0
scna-fp16,exp,direct,16,4,14,1025.0,290.0,233.0,2.0,390.0,330.0,4.0,4.0,1306.0
scna-fp16,exp,direct,16,4,15,999.0,290.0,233.0,2.0,373.0,322.0,4.0,3.0,1245.0
scna-fp16,exp,direct,16,4,16,1034.0,290.0,232.0,2.0,399.0,330.0,4.0,4.0,1301.0
scna-fp16,exp,direct,16,4,17,1014.0,288.0,232.0,2.0,378.0,334.0,4.0,3.0,1345.0
scna-fp16,exp,direct,16,4,18,1012.0,287.0,232.0,2.0,388.0,323.0,4.0,3.0,1368.0
scna-fp16,exp,direct,16,4,19,1026.0,287.0,232.0,2.0,393.0,331.0,4.0,4.0,1362.0
scna-fp16,exp,direct,16,8,0,1160.0,536.0,450.0,4.0,304.0,291.0,9.0,9.0,1453.0
scna-fp16,exp,direct,16,8,1,1171.0,536.0,449.0,4.0,307.0,301.0,8.0,8.0,1443.0
scna-fp16,exp,direct,16,8,2,1153.0,539.0,450.0,4.0,305.0,281.0,9.0,8.0,1433.0
scna-fp16,exp,direct,16,8,3,1173.0,535.0,449.0,4.0,318.0,292.0,8.0,8.0,1472.0
scna-fp16,exp,direct,16,8,4,1160.0,536.0,450.0,4.0,288.0,308.0,9.0,8.0,1448.0
scna-fp16,exp,direct,16,8,5,1200.0,536.0,449.0,3.0,303.0,335.0,8.0,8.0,1471.0
scna-fp16,exp,direct,16,8,6,1230.0,544.0,450.0,4.0,336.0,323.0,8.0,8.0,1542.0
scna-fp16,exp,direct,16,8,7,1230.0,542.0,449.0,4.0,342.0,318.0,9.0,8.0,1548.0
scna-fp16,exp,direct,16,8,8,1217.0,538.0,450.0,4.0,331.0,321.0,8.0,8.0,1549.0
scna-fp16,exp,direct,16,8,9,1239.0,545.0,450.0,4.0,336.0,329.0,9.0,8.0,1545.0
scna-fp16,exp,direct,16,8,10,1217.0,542.0,449.0,4.0,308.0,340.0,8.0,8.0,1544.0
scna-fp16,exp,direct,16,8,11,1242.0,546.0,449.0,3.0,336.0,332.0,9.0,8.0,1550.0
scna-fp16,exp,direct,16,8,12,1245.0,543.0,449.0,4.0,341.0,332.0,9.0,8.0,1542.0
scna-fp16,exp,direct,16,8,13,1214.0,543.0,450.0,4.0,335.0,308.0,8.0,8.0,1547.0
scna-fp16,exp,direct,16,8,14,1222.0,543.0,450.0,4.0,336.0,314.0,9.0,8.0,1493.0
scna-fp16,exp,direct,16,8,15,1265.0,545.0,451.0,4.0,355.0,338.0,8.0,7.0,1596.0
scna-fp16,exp,direct,16,8,16,1268.0,549.0,453.0,4.0,351.0,339.0,9.0,8.0,1587.0
scna-fp16,exp,direct,16,8,17,1244.0,545.0,452.0,4.0,344.0,327.0,9.0,8.0,1514.0
scna-fp16,exp,direct,16,8,18,1252.0,546.0,451.0,4.0,344.0,334.0,8.0,8.0,1482.0
scna-fp16,exp,direct,16,8,19,1261.0,548.0,452.0,4.0,356.0,328.0,9.0,8.0,1590.0
scna-fp16,exp,direct,16,16,0,1665.0,1055.0,890.0,8.0,279.0,284.0,12.0,13.0,1992.0
scna-fp16,exp,direct,16,16,1,1768.0,1061.0,891.0,8.0,326.0,334.0,12.0,13.0,2026.0
scna-fp16,exp,direct,16,16,2,1752.0,1070.0,889.0,8.0,333.0,303.0,12.0,13.0,2108.0
scna-fp16,exp,direct,16,16,3,1749.0,1071.0,889.0,8.0,306.0,325.0,12.0,14.0,2030.0
scna-fp16,exp,direct,16,16,4,1777.0,1071.0,889.0,8.0,332.0,328.0,12.0,13.0,2136.0
scna-fp16,exp,direct,16,16,5,1786.0,1075.0,891.0,8.0,335.0,329.0,13.0,13.0,2143.0
scna-fp16,exp,direct,16,16,6,1776.0,1072.0,890.0,8.0,332.0,326.0,12.0,13.0,2025.0
scna-fp16,exp,direct,16,16,7,1788.0,1071.0,890.0,8.0,333.0,336.0,12.0,14.0,2037.0
scna-fp16,exp,direct,16,16,8,1731.0,1065.0,892.0,7.0,310.0,312.0,12.0,12.0,1986.0
scna-fp16,exp,direct,16,16,9,1759.0,1067.0,893.0,7.0,344.0,305.0,12.0,12.0,2094.0
scna-fp16,exp,direct,16,16,10,1716.0,1064.0,890.0,8.0,318.0,291.0,12.0,11.0,1976.0
scna-fp16,exp,direct,16,16,11,1688.0,1063.0,891.0,7.0,304.0,278.0,12.0,11.0,2038.0
scna-fp16,exp,direct,16,16,12,1693.0,1069.0,890.0,8.0,302.0,276.0,13.0,12.0,1947.0
scna-fp16,exp,direct,16,16,13,1663.0,1062.0,890.0,7.0,293.0,264.0,12.0,12.0,1977.0
scna-fp16,exp,direct,16,16,14,1651.0,1062.0,889.0,8.0,286.0,258.0,12.0,12.0,1926.0
scna-fp16,exp,direct,16,16,15,1634.0,1062.0,889.0,7.0,278.0,251.0,12.0,11.0,1873.0
scna-fp16,exp,direct,16,16,16,1633.0,1061.0,890.0,7.0,277.0,251.0,12.0,12.0,1933.0
scna-fp16,exp,direct,16,16,17,1632.0,1063.0,889.0,7.0,271.0,254.0,12.0,12.0,1980.0
scna-fp16,exp,direct,16,16,18,1638.0,1066.0,889.0,8.0,273.0,254.0,12.0,12.0,1997.0
scna-fp16,exp,direct,16,16,19,1635.0,1064.0,889.0,7.0,274.0,253.0,12.0,12.0,1972.0
scna-fp16,exp,direct,16,32,0,2788.0,2134.0,1773.0,15.0,286.0,279.0,24.0,26.0,3160.0
scna-fp16,exp,direct,16,32,1,2800.0,2141.0,1773.0,15.0,295.0,276.0,24.0,25.0,3152.0
scna-fp16,exp,direct,16,32,2,2790.0,2134.0,1773.0,15.0,289.0,279.0,24.0,25.0,3155.0
scna-fp16,exp,direct,16,32,3,2839.0,2150.0,1771.0,15.0,302.0,299.0,24.0,25.0,3244.0
scna-fp16,exp,direct,16,32,4,2844.0,2147.0,1771.0,15.0,311.0,297.0,24.0,26.0,3166.0
scna-fp16,exp,direct,16,32,5,2842.0,2152.0,1773.0,15.0,309.0,293.0,24.0,25.0,3151.0
scna-fp16,exp,direct,16,32,6,2844.0,2151.0,1771.0,15.0,310.0,294.0,24.0,25.0,3171.0
scna-fp16,exp,direct,16,32,7,2845.0,2150.0,1773.0,14.0,311.0,295.0,24.0,26.0,3219.0
scna-fp16,exp,direct,16,32,8,2829.0,2151.0,1772.0,15.0,299.0,291.0,24.0,25.0,3158.0
scna-fp16,exp,direct,16,32,9,2839.0,2145.0,1771.0,15.0,310.0,295.0,24.0,25.0,3183.0
scna-fp16,exp,direct,16,32,10,2847.0,2153.0,1773.0,15.0,310.0,297.0,24.0,25.0,3178.0
scna-fp16,exp,direct,16,32,11,2846.0,2153.0,1772.0,15.0,313.0,291.0,24.0,26.0,3185.0
scna-fp16,exp,direct,16,32,12,2840.0,2149.0,1772.0,15.0,309.0,293.0,24.0,26.0,3224.0
scna-fp16,exp,direct,16,32,13,2845.0,2152.0,1772.0,15.0,311.0,294.0,24.0,25.0,3114.0
scna-fp16,exp,direct,16,32,14,2841.0,2147.0,1773.0,15.0,313.0,292.0,24.0,25.0,3209.0
scna-fp16,exp,direct,16,32,15,2838.0,2152.0,1771.0,14.0,308.0,290.0,24.0,25.0,3159.0
scna-fp16,exp,direct,16,32,16,2848.0,2153.0,1771.0,15.0,313.0,293.0,24.0,25.0,3187.0
scna-fp16,exp,direct,16,32,17,2824.0,2151.0,1771.0,14.0,302.0,284.0,24.0,24.0,3151.0
scna-fp16,exp,direct,16,32,18,2834.0,2147.0,1771.0,15.0,307.0,292.0,24.0,25.0,3161.0
scna-fp16,exp,direct,16,32,19,2836.0,2148.0,1771.0,15.0,310.0,291.0,24.0,24.0,3168.0
scna-fp16,exp,direct,32,4,0,1002.0,417.0,373.0,2.0,292.0,278.0,4.0,5.0,1316.0
scna-fp16,exp,direct,32,4,1,1006.0,418.0,372.0,2.0,292.0,283.0,4.0,4.0,1314.0
scna-fp16,exp,direct,32,4,2,1004.0,419.0,374.0,2.0,293.0,278.0,4.0,5.0,1318.0
scna-fp16,exp,direct,32,4,3,986.0,417.0,373.0,2.0,291.0,264.0,4.0,5.0,1309.0
scna-fp16,exp,direct,32,4,4,1002.0,417.0,373.0,2.0,291.0,280.0,4.0,5.0,1330.0
scna-fp16,exp,direct,32,4,5,995.0,418.0,374.0,3.0,279.0,284.0,4.0,4.0,1308.0
scna-fp16,exp,direct,32,4,6,1007.0,417.0,372.0,2.0,294.0,281.0,4.0,5.0,1289.0
scna-fp16,exp,direct,32,4,7,1009.0,418.0,373.0,2.0,294.0,283.0,4.0,5.0,1316.0
