session,iteration,q,host_elapsed_us,ret
2,11,16,677.0,0
2,12,16,661.0,0
2,13,16,660.0,0
2,14,16,660.0,0
2,15,16,660.0,0
2,16,16,672.0,0
2,17,16,737.0,0
2,18,16,737.0,0
2,19,16,736.0,0
3,0,16,658.0,0
3,1,16,658.0,0
3,2,16,658.0,0
3,3,16,658.0,0
3,4,16,658.0,0
3,5,16,657.0,0
3,6,16,659.0,0
3,7,16,657.0,0
3,8,16,659.0,0
3,9,16,657.0,0
3,10,16,682.0,0
3,11,16,657.0,0
3,12,16,658.0,0
3,13,16,696.0,0
3,14,16,742.0,0
3,15,16,747.0,0
3,16,16,743.0,0
3,17,16,744.0,0
3,18,16,743.0,0
3,19,16,743.0,0
4,0,16,658.0,0
4,1,16,658.0,0
4,2,16,659.0,0
4,3,16,659.0,0
4,4,16,658.0,0
4,5,16,658.0,0
4,6,16,658.0,0
4,7,16,659.0,0
4,8,16,659.0,0
4,9,16,658.0,0
4,10,16,656.0,0
4,11,16,659.0,0
4,12,16,657.0,0
4,13,16,657.0,0
4,14,16,659.0,0
4,15,16,658.0,0
4,16,16,658.0,0
4,17,16,708.0,0
4,18,16,658.0,0
4,19,16,661.0,0
5,0,16,652.0,0
5,1,16,662.0,0
5,2,16,659.0,0
5,3,16,706.0,0
5,4,16,658.0,0
5,5,16,663.0,0
5,6,16,657.0,0
5,7,16,659.0,0
5,8,16,662.0,0
5,9,16,657.0,0
5,10,16,685.0,0
5,11,16,660.0,0
5,12,16,660.0,0
5,13,16,656.0,0
5,14,16,662.0,0
5,15,16,658.0,0
5,16,16,658.0,0
5,17,16,661.0,0
5,18,16,807.0,0
5,19,16,625.0,0
1,0,32,984.0,0
1,1,32,1047.0,0
1,2,32,994.0,0
1,3,32,1055.0,0
1,4,32,1042.0,0
1,5,32,1044.0,0
1,6,32,1045.0,0
1,7,32,1040.0,0
1,8,32,1043.0,0
1,9,32,1042.0,0
1,10,32,1067.0,0
1,11,32,1040.0,0
1,12,32,1032.0,0
1,13,32,997.0,0
1,14,32,1003.0,0
1,15,32,996.0,0
1,16,32,994.0,0
1,17,32,998.0,0
1,18,32,1000.0,0
1,19,32,1000.0,0
2,0,32,1044.0,0
2,1,32,1041.0,0
2,2,32,1043.0,0
2,3,32,1042.0,0
2,4,32,1047.0,0
2,5,32,1042.0,0
2,6,32,1043.0,0
2,7,32,1045.0,0
2,8,32,1043.0,0
2,9,32,1109.0,0
2,10,32,1001.0,0
2,11,32,1278.0,0
2,12,32,1101.0,0
2,13,32,1091.0,0
2,14,32,1289.0,0
2,15,32,1025.0,0
2,16,32,1021.0,0
2,17,32,1100.0,0
2,18,32,1025.0,0
2,19,32,1002.0,0
3,0,32,1070.0,0
3,1,32,1051.0,0
3,2,32,1061.0,0
3,3,32,1009.0,0
3,4,32,1007.0,0
3,5,32,1003.0,0
3,6,32,999.0,0
3,7,32,1034.0,0
3,8,32,997.0,0
3,9,32,1001.0,0
3,10,32,1001.0,0
3,11,32,1001.0,0
3,12,32,999.0,0
3,13,32,1002.0,0
3,14,32,1000.0,0
3,15,32,1065.0,0
3,16,32,1001.0,0
3,17,32,1051.0,0
3,18,32,1009.0,0
3,19,32,997.0,0
4,0,32,986.0,0
4,1,32,988.0,0
4,2,32,987.0,0
4,3,32,988.0,0
4,4,32,988.0,0
4,5,32,989.0,0
4,6,32,987.0,0
4,7,32,1072.0,0
4,8,32,1019.0,0
4,9,32,1051.0,0
4,10,32,1019.0,0
4,11,32,1013.0,0
4,12,32,992.0,0
4,13,32,1012.0,0
4,14,32,1010.0,0
4,15,32,1013.0,0
4,16,32,1005.0,0
4,17,32,1011.0,0
4,18,32,1011.0,0
4,19,32,1010.0,0
5,0,32,986.0,0
5,1,32,985.0,0
5,2,32,1044.0,0
5,3,32,989.0,0
5,4,32,993.0,0
5,5,32,986.0,0
5,6,32,1023.0,0
5,7,32,967.0,0
5,8,32,1089.0,0
5,9,32,1057.0,0
5,10,32,1015.0,0
5,11,32,1038.0,0
5,12,32,1037.0,0
5,13,32,1059.0,0
5,14,32,1049.0,0
5,15,32,1051.0,0
5,16,32,1048.0,0
5,17,32,1052.0,0
5,18,32,1049.0,0
5,19,32,1046.0,0
