key,label,q,kv,q_task_rows,requested_workers,mapping,host_us_median,host_us_ci_low,host_us_ci_high,profiled_total_median,profiled_total_ci_low,profiled_total_ci_high,q_load_median,q_load_ci_low,q_load_ci_high,k_load_median,k_load_ci_low,k_load_ci_high,v_load_median,v_load_ci_low,v_load_ci_high,qk_dot_median,qk_dot_ci_low,qk_dot_ci_high,safe_sm_median,safe_sm_ci_low,safe_sm_ci_high,scna_exp_median,scna_exp_ci_low,scna_exp_ci_high,state_update_median,state_update_ci_low,state_update_ci_high,core_acc_median,core_acc_ci_low,core_acc_ci_high,o_scale_median,o_scale_ci_low,o_scale_ci_high,o_store_median,o_store_ci_low,o_store_ci_high,active_workers_median,active_workers_ci_low,active_workers_ci_high,tasks_median,tasks_ci_low,tasks_ci_high,q_task_rows_actual_median,q_task_rows_actual_ci_low,q_task_rows_actual_ci_high,vtcm_total_bytes_median,vtcm_total_bytes_ci_low,vtcm_total_bytes_ci_high,task_records_max_worker_median,task_records_max_worker_ci_low,task_records_max_worker_ci_high,task_records_min_worker_median,task_records_min_worker_ci_low,task_records_min_worker_ci_high,task_record_imbalance_median,task_record_imbalance_ci_low,task_record_imbalance_ci_high
fused_state_update|32|4096|32|auto|query_chunk_x_kv_head,fused_state_update,32,4096,32,auto,query_chunk_x_kv_head,1255.5,1241.5,1281.0,2010.5,2001.5,2017.0,16.0,16.0,16.0,179.0,176.0,181.0,92.5,91.0,93.5,26.0,25.0,26.0,1640.5,1633.0,1648.5,971.0,970.0,973.0,0.0,0.0,0.0,35.0,34.0,35.0,5.0,4.5,5.0,22.0,22.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|4096|4|1|query_chunk_x_kv_head,fused_state_update,32,4096,4,1,query_chunk_x_kv_head,5352.5,5312.0,5469.5,4393.0,4304.0,4577.0,16.5,16.0,17.0,1171.0,1100.0,1224.0,1466.5,1442.0,1512.5,29.5,28.0,30.0,1670.0,1649.0,1712.0,1030.0,1024.0,1039.0,0.0,0.0,0.0,26.0,25.0,27.0,23.5,23.0,24.0,19.5,17.0,21.0,1.0,1.0,1.0,16.0,16.0,16.0,4.0,4.0,4.0,1048576.0,1048576.0,1048576.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
fused_state_update|32|4096|4|auto|query_chunk_x_kv_head,fused_state_update,32,4096,4,auto,query_chunk_x_kv_head,1504.0,1473.0,1535.0,5642.0,5504.0,5733.0,24.0,24.0,25.0,2034.5,1966.0,2133.0,1816.5,1801.0,1837.0,51.0,49.0,54.5,1560.5,1548.0,1568.0,1060.5,1053.0,1069.0,0.0,0.0,0.0,65.0,62.5,67.0,22.0,21.0,23.0,37.0,35.0,38.0,6.0,6.0,6.0,16.0,16.0,16.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
fused_state_update|32|4096|8|1|query_chunk_x_kv_head,fused_state_update,32,4096,8,1,query_chunk_x_kv_head,3480.5,3461.0,3513.5,2890.0,2877.0,2899.0,16.0,16.0,16.0,526.5,524.0,527.5,720.5,715.0,726.0,28.0,28.0,28.0,1544.0,1541.0,1549.0,982.0,981.0,984.0,0.0,0.0,0.0,12.0,12.0,13.0,12.0,12.0,12.0,23.0,22.0,24.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,1048576.0,1048576.0,1048576.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0
fused_state_update|32|4096|8|2|query_chunk_x_kv_head,fused_state_update,32,4096,8,2,query_chunk_x_kv_head,2016.5,2005.0,2041.0,2988.0,2962.0,3034.5,18.0,18.0,20.0,714.0,708.0,721.0,631.5,593.5,669.0,36.0,36.0,36.0,1537.0,1531.0,1542.0,1002.5,998.0,1007.5,0.0,0.0,0.0,22.0,21.0,23.0,16.5,15.0,18.0,24.5,24.0,28.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
fused_state_update|32|4096|8|3|query_chunk_x_kv_head,fused_state_update,32,4096,8,3,query_chunk_x_kv_head,1547.5,1527.0,1556.5,2941.5,2909.0,2962.0,18.0,18.0,19.0,670.0,664.0,674.0,629.5,621.0,638.0,31.0,31.0,32.0,1543.0,1529.0,1551.5,1026.5,1017.0,1041.0,0.0,0.0,0.0,25.0,24.0,26.0,14.0,13.0,15.0,25.0,24.0,26.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,3145728.0,3145728.0,3145728.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
fused_state_update|32|4096|8|4|query_chunk_x_kv_head,fused_state_update,32,4096,8,4,query_chunk_x_kv_head,1102.5,1093.0,1129.0,3023.5,3007.0,3040.0,22.0,21.0,22.0,762.5,758.5,768.0,596.5,588.5,605.0,40.0,39.0,40.0,1513.5,1501.0,1522.0,1038.5,1030.0,1044.0,0.0,0.0,0.0,42.5,41.0,45.0,15.0,14.0,15.0,28.0,27.0,28.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,4194304.0,4194304.0,4194304.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
fused_state_update|32|4096|8|5|query_chunk_x_kv_head,fused_state_update,32,4096,8,5,query_chunk_x_kv_head,1071.5,1066.5,1081.5,2902.5,2866.0,2925.0,23.0,22.0,23.0,739.0,731.5,750.0,532.0,521.5,540.0,36.0,35.5,38.0,1500.0,1487.0,1515.0,1031.5,1022.0,1039.5,0.0,0.0,0.0,33.0,31.0,35.0,12.0,11.0,12.0,24.0,23.0,24.5,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,5242880.0,5242880.0,5242880.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
fused_state_update|32|4096|8|6|query_chunk_x_kv_head,fused_state_update,32,4096,8,6,query_chunk_x_kv_head,1106.5,1096.0,1122.5,3017.0,2994.0,3025.5,22.0,22.0,23.0,848.5,840.0,861.0,488.0,480.0,491.0,54.0,52.0,55.0,1503.0,1498.0,1510.0,1020.0,1017.0,1025.0,0.0,0.0,0.0,62.0,59.0,62.5,17.0,15.0,18.0,26.0,25.0,27.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
fused_state_update|32|4096|8|auto|query_chunk_x_kv_head,fused_state_update,32,4096,8,auto,query_chunk_x_kv_head,1128.0,1119.0,1140.0,3087.0,3054.0,3117.0,23.0,22.0,26.0,854.0,835.5,873.0,504.0,501.0,509.5,56.0,53.0,58.0,1530.0,1514.0,1543.0,1029.5,1023.0,1039.0,0.0,0.0,0.0,64.5,61.5,67.5,17.0,16.0,17.0,27.0,26.0,27.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
