mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,32,4096,12,2,128,warmup,0,2235,0
baseline,32,4096,12,2,128,warmup,1,2423,0
baseline,32,4096,12,2,128,warmup,2,2391,0
baseline,32,4096,12,2,128,warmup,3,2384,0
baseline,32,4096,12,2,128,warmup,4,2367,0
baseline,32,4096,12,2,128,measure,0,2412,0
baseline,32,4096,12,2,128,measure,1,2412,0
baseline,32,4096,12,2,128,measure,2,2433,0
baseline,32,4096,12,2,128,measure,3,2353,0
baseline,32,4096,12,2,128,measure,4,2415,0
baseline,32,4096,12,2,128,measure,5,2343,0
baseline,32,4096,12,2,128,measure,6,2341,0
baseline,32,4096,12,2,128,measure,7,2357,0
baseline,32,4096,12,2,128,measure,8,2460,0
baseline,32,4096,12,2,128,measure,9,2391,0
baseline,32,4096,12,2,128,measure,10,2459,0
baseline,32,4096,12,2,128,measure,11,2526,0
baseline,32,4096,12,2,128,measure,12,2518,0
baseline,32,4096,12,2,128,measure,13,2594,0
baseline,32,4096,12,2,128,measure,14,2551,0
baseline,32,4096,12,2,128,measure,15,2419,0
baseline,32,4096,12,2,128,measure,16,2460,0
baseline,32,4096,12,2,128,measure,17,2504,0
baseline,32,4096,12,2,128,measure,18,2602,0
baseline,32,4096,12,2,128,measure,19,2529,0
