mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,32,4096,12,2,128,warmup,0,4063,0
scna-fp16,32,4096,12,2,128,warmup,1,4129,0
scna-fp16,32,4096,12,2,128,warmup,2,4115,0
scna-fp16,32,4096,12,2,128,warmup,3,4112,0
scna-fp16,32,4096,12,2,128,warmup,4,4262,0
scna-fp16,32,4096,12,2,128,measure,0,4241,0
scna-fp16,32,4096,12,2,128,measure,1,4257,0
scna-fp16,32,4096,12,2,128,measure,2,4296,0
scna-fp16,32,4096,12,2,128,measure,3,4297,0
scna-fp16,32,4096,12,2,128,measure,4,4227,0
scna-fp16,32,4096,12,2,128,measure,5,4297,0
scna-fp16,32,4096,12,2,128,measure,6,4215,0
scna-fp16,32,4096,12,2,128,measure,7,4225,0
scna-fp16,32,4096,12,2,128,measure,8,4274,0
scna-fp16,32,4096,12,2,128,measure,9,4288,0
scna-fp16,32,4096,12,2,128,measure,10,4213,0
scna-fp16,32,4096,12,2,128,measure,11,4325,0
scna-fp16,32,4096,12,2,128,measure,12,4265,0
scna-fp16,32,4096,12,2,128,measure,13,4326,0
scna-fp16,32,4096,12,2,128,measure,14,4217,0
scna-fp16,32,4096,12,2,128,measure,15,4275,0
scna-fp16,32,4096,12,2,128,measure,16,4227,0
scna-fp16,32,4096,12,2,128,measure,17,4237,0
scna-fp16,32,4096,12,2,128,measure,18,4223,0
scna-fp16,32,4096,12,2,128,measure,19,4292,0
