mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,16,4096,12,2,128,warmup,0,1615,0
scna-int8,16,4096,12,2,128,warmup,1,1714,0
scna-int8,16,4096,12,2,128,warmup,2,1713,0
scna-int8,16,4096,12,2,128,warmup,3,1713,0
scna-int8,16,4096,12,2,128,warmup,4,1712,0
scna-int8,16,4096,12,2,128,measure,0,1683,0
scna-int8,16,4096,12,2,128,measure,1,1769,0
scna-int8,16,4096,12,2,128,measure,2,1750,0
scna-int8,16,4096,12,2,128,measure,3,1800,0
scna-int8,16,4096,12,2,128,measure,4,1767,0
scna-int8,16,4096,12,2,128,measure,5,1762,0
scna-int8,16,4096,12,2,128,measure,6,1776,0
scna-int8,16,4096,12,2,128,measure,7,1759,0
scna-int8,16,4096,12,2,128,measure,8,1765,0
scna-int8,16,4096,12,2,128,measure,9,1785,0
scna-int8,16,4096,12,2,128,measure,10,1779,0
scna-int8,16,4096,12,2,128,measure,11,1753,0
scna-int8,16,4096,12,2,128,measure,12,1762,0
scna-int8,16,4096,12,2,128,measure,13,1758,0
scna-int8,16,4096,12,2,128,measure,14,1754,0
scna-int8,16,4096,12,2,128,measure,15,1794,0
scna-int8,16,4096,12,2,128,measure,16,1772,0
scna-int8,16,4096,12,2,128,measure,17,1757,0
scna-int8,16,4096,12,2,128,measure,18,1787,0
scna-int8,16,4096,12,2,128,measure,19,1762,0
