stage,mode,layout,seed,mask,qo_len,kv_len,head_dim,rmse,max_abs_error,candidate_nonfinite,reference_nonfinite,compare_pass,layout_pass,mask_tail_pass,checksum_unique_count,log
baseline,baseline,serial,figure8_fixed,causal,1,4096,128,4.12185136e-06,1.11120753e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q1_k4096_d128.log
baseline,baseline,serial,figure8_fixed,causal,4,4093,64,2.47996854e-06,7.81274866e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q4_k4093_d64.log
baseline,baseline,serial,figure8_fixed,causal,4,4093,128,5.31367232e-06,1.57923205e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q4_k4093_d128.log
baseline,baseline,serial,figure8_fixed,causal,4,4096,64,2.18683749e-06,8.19930574e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q4_k4096_d64.log
baseline,baseline,serial,figure8_fixed,causal,4,4096,128,4.65253424e-06,1.47214159e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q4_k4096_d128.log
baseline,baseline,serial,20260810,full,1,4093,64,0.000242402297,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q1_k4093_d64.log
baseline,baseline,serial,20260810,full,1,4093,128,2.90171429e-05,0.000127545558,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q1_k4093_d128.log
baseline,baseline,serial,20260810,full,1,4096,64,0.000245892879,0.000931822695,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q1_k4096_d64.log
baseline,baseline,serial,20260810,full,1,4096,128,2.85189981e-05,0.000152754597,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q1_k4096_d128.log
baseline,baseline,serial,20260810,full,4,4093,64,0.000243227943,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q4_k4093_d64.log
baseline,baseline,serial,20260810,full,4,4093,128,2.75228649e-05,0.000153615139,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q4_k4093_d128.log
baseline,baseline,serial,20260810,full,4,4096,64,0.000244926952,0.000931822695,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q4_k4096_d64.log
baseline,baseline,serial,20260810,full,4,4096,128,2.84957387e-05,0.000164076686,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_full_q4_k4096_d128.log
baseline,baseline,serial,20260810,padding,1,4093,64,0.000244813331,0.000936400145,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q1_k4093_d64.log
baseline,baseline,serial,20260810,padding,1,4093,128,3.21374282e-05,0.000138638541,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q1_k4093_d128.log
baseline,baseline,serial,20260810,padding,1,4096,64,0.000242402297,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q1_k4096_d64.log
baseline,baseline,serial,20260810,padding,1,4096,128,2.90171429e-05,0.000127545558,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q1_k4096_d128.log
baseline,baseline,serial,20260810,padding,4,4093,64,0.000245585485,0.000936400145,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q4_k4093_d64.log
baseline,baseline,serial,20260810,padding,4,4093,128,3.03276192e-05,0.000164652243,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q4_k4093_d128.log
baseline,baseline,serial,20260810,padding,4,4096,64,0.000243227943,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q4_k4096_d64.log
baseline,baseline,serial,20260810,padding,4,4096,128,2.75228649e-05,0.000153615139,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_padding_q4_k4096_d128.log
baseline,baseline,serial,20260810,causal,1,4093,64,0.000242402297,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q1_k4093_d64.log
