qo_len,baseline_iterations,lut_exp_iterations,baseline_profiled_total_us,lut_exp_profiled_total_us,profiled_total_delta_us,profiled_total_delta_pct,baseline_host_median_us,lut_exp_host_median_us,host_delta_us,host_delta_pct,baseline_q_load_us,lut_exp_q_load_us,q_load_delta_us,q_load_delta_pct,baseline_q_load_pct,lut_exp_q_load_pct,q_load_pct_point_delta,baseline_k_load_us,lut_exp_k_load_us,k_load_delta_us,k_load_delta_pct,baseline_k_load_pct,lut_exp_k_load_pct,k_load_pct_point_delta,baseline_v_load_us,lut_exp_v_load_us,v_load_delta_us,v_load_delta_pct,baseline_v_load_pct,lut_exp_v_load_pct,v_load_pct_point_delta,baseline_qk_dot_us,lut_exp_qk_dot_us,qk_dot_delta_us,qk_dot_delta_pct,baseline_qk_dot_pct,lut_exp_qk_dot_pct,qk_dot_pct_point_delta,baseline_safe_sm_us,lut_exp_safe_sm_us,safe_sm_delta_us,safe_sm_delta_pct,baseline_safe_sm_pct,lut_exp_safe_sm_pct,safe_sm_pct_point_delta,baseline_core_acc_us,lut_exp_core_acc_us,core_acc_delta_us,core_acc_delta_pct,baseline_core_acc_pct,lut_exp_core_acc_pct,core_acc_pct_point_delta,baseline_o_scale_us,lut_exp_o_scale_us,o_scale_delta_us,o_scale_delta_pct,baseline_o_scale_pct,lut_exp_o_scale_pct,o_scale_pct_point_delta,baseline_o_store_us,lut_exp_o_store_us,o_store_delta_us,o_store_delta_pct,baseline_o_store_pct,lut_exp_o_store_pct,o_store_pct_point_delta
4,20,20,542.0,483.5,-58.5,-10.793357933579335,568.0,561.0,-7.0,-1.232394366197183,2.0,2.0,0.0,0.0,0.36900369003690037,0.4136504653567736,0.04464677531987321,180.5,183.0,2.5,1.3850415512465373,33.30258302583026,37.849017580144775,4.546434554314516,178.0,182.5,4.5,2.528089887640449,32.84132841328413,37.74560496380558,4.904276550521452,3.0,3.0,0.0,0.0,0.5535055350553505,0.6204756980351602,0.06697016297980973,171.5,103.0,-68.5,-39.94169096209912,31.642066420664207,21.302998965873837,-10.33906745479037,2.0,4.0,2.0,100.0,0.36900369003690037,0.8273009307135472,0.4582972406766468,1.0,2.0,1.0,100.0,0.18450184501845018,0.4136504653567736,0.2291486203383234,4.0,4.0,0.0,0.0,0.7380073800738007,0.8273009307135472,0.08929355063974642
8,20,20,782.0,621.0,-161.0,-20.588235294117645,679.5,579.5,-100.0,-14.716703458425313,4.0,4.0,0.0,0.0,0.5115089514066496,0.644122383252818,0.13261343184616836,171.0,176.5,5.5,3.216374269005848,21.86700767263427,28.421900161030596,6.554892488396327,211.0,205.5,-5.5,-2.6066350710900474,26.982097186700766,33.091787439613526,6.10969025291276,7.0,8.0,1.0,14.285714285714285,0.8951406649616368,1.288244766505636,0.3931041015439992,374.0,212.0,-162.0,-43.31550802139038,47.82608695652174,34.13848631239936,-13.687600644122384,7.0,8.0,1.0,14.285714285714285,0.8951406649616368,1.288244766505636,0.3931041015439992,1.0,1.0,0.0,0.0,0.1278772378516624,0.1610305958132045,0.03315335796154209,7.0,6.0,-1.0,-14.285714285714285,0.8951406649616368,0.966183574879227,0.07104290991759021
16,20,20,1152.5,810.0,-342.5,-29.718004338394792,885.5,698.0,-187.5,-21.174477696216826,8.0,8.0,0.0,0.0,0.6941431670281996,0.9876543209876543,0.2935111539594547,171.0,186.0,15.0,8.771929824561402,14.837310195227765,22.962962962962962,8.125652767735197,144.5,137.5,-7.0,-4.844290657439446,12.537960954446856,16.97530864197531,4.4373476875284545,13.0,12.0,-1.0,-7.6923076923076925,1.1279826464208242,1.4814814814814816,0.3534988350606574,790.0,438.5,-351.5,-44.49367088607595,68.54663774403471,54.13580246913581,-14.4108352748989,13.0,15.0,2.0,15.384615384615385,1.1279826464208242,1.8518518518518516,0.7238692054310274,1.0,1.0,0.0,0.0,0.08676789587852494,0.12345679012345678,0.03668889424493184,12.0,12.0,0.0,0.0,1.0412147505422993,1.4814814814814816,0.44026673093918234
32,20,20,2191.0,1341.0,-850.0,-38.79507074395253,1434.0,1010.5,-423.5,-29.532775453277544,16.0,16.0,0.0,0.0,0.730260155180283,1.193139448173005,0.4628792929927221,175.5,177.0,1.5,0.8547008547008548,8.010041077133728,13.19910514541387,5.1890640682801425,129.0,124.5,-4.5,-3.488372093023256,5.887722501141032,9.284116331096197,3.396393829955165,24.0,25.0,1.0,4.166666666666666,1.0953902327704246,1.864280387770321,0.7688901549998963,1781.5,928.5,-853.0,-47.88099915801291,81.30990415335462,69.23937360178971,-12.070530551564914,39.0,43.0,4.0,10.256410256410255,1.7800091282519397,3.206562266964952,1.4265531387130121,3.0,3.0,0.0,0.0,0.13692377909630307,0.22371364653243847,0.0867898674361354,23.0,24.0,1.0,4.3478260869565215,1.0497489730716567,1.7897091722595078,0.739960199187851
