mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,direct,16,32,4096,12,2,128,warmup,0,3150,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,warmup,1,3037,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,warmup,2,3077,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,warmup,3,2992,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,warmup,4,3089,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,0,3119,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,1,3230,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,2,3213,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,3,3123,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,4,3188,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,5,3165,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,6,3183,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,7,3279,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,8,3143,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,9,3210,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,10,3176,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,11,3162,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,12,3273,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,13,3222,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,14,3253,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,15,3189,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,16,3178,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,17,3182,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,18,3210,0
scna-fp16,exp2,direct,16,32,4096,12,2,128,measure,19,3179,0
