mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,tree,16,8,4096,12,2,128,warmup,0,1349,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,warmup,1,1332,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,warmup,2,1252,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,warmup,3,1237,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,warmup,4,1256,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,0,1241,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,1,1235,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,2,1234,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,3,1250,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,4,1338,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,5,1301,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,6,1311,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,7,1337,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,8,1338,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,9,1308,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,10,1349,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,11,1315,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,12,1328,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,13,1343,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,14,1314,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,15,1326,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,16,1493,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,17,1480,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,18,1484,0
scna-fp16,exp2,tree,16,8,4096,12,2,128,measure,19,1525,0
