mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_rmse,micro_max_abs_error,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us
scna-fp16,32,16,1,20,2888.5,2888.5,2924.0,2675.5,2675.5,2781.5,1.0,0.000378106,0.00301601,2062.0,1676.0,16.0,392.5,348.5,24.0,23.5
scna-fp16,32,32,1,20,3940.5,3940.5,3966.0,2675.5,2675.5,2781.5,2.0,8.59679e-05,0.000488281,3182.0,2817.0,14.0,358.5,315.0,24.0,24.0
scna-fp16,32,8,1,20,2290.0,2290.0,2416.5,2675.5,2675.5,2781.5,0.0,0.00231996,0.0185189,1595.0,1207.0,16.0,259.0,344.0,24.0,23.0
scna-fp16,4,16,1,20,936.0,936.0,1000.0,1218.5,1218.5,1253.2,1.0,0.000378106,0.00301601,266.0,219.0,2.0,348.0,309.0,4.0,4.0
scna-fp16,4,32,1,20,1122.0,1122.0,1202.15,1218.5,1218.5,1253.2,2.0,8.59679e-05,0.000488281,434.0,372.0,2.0,362.0,355.0,4.0,4.0
scna-fp16,4,8,1,20,900.0,900.0,929.5500000000001,1218.5,1218.5,1253.2,0.0,0.00231996,0.0185189,241.0,169.5,2.0,308.5,356.5,4.0,3.0
scna-fp16,8,16,1,20,1139.0,1139.0,1230.1,1401.5,1401.5,1580.05,1.0,0.000378106,0.00301601,529.0,432.0,4.0,301.5,331.5,9.0,8.0
scna-fp16,8,32,1,20,1507.5,1507.5,1656.2,1401.5,1401.5,1580.05,2.0,8.59679e-05,0.000488281,807.5,717.0,4.0,357.5,316.0,8.0,9.0
scna-fp16,8,8,1,20,1098.5,1098.5,1211.0,1401.5,1401.5,1580.05,0.0,0.00231996,0.0185189,433.0,319.0,4.0,337.5,359.0,8.0,7.0
scna-int8,16,16,2,20,1737.0,1737.0,1770.25,1763.5,1763.5,1794.3,1.0,0.0126392,0.0128937,1026.5,845.0,8.0,353.0,315.5,12.0,12.0
