mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,direct,on,32,8,4096,12,2,128,warmup,0,1522,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,warmup,1,1349,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,warmup,2,1382,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,warmup,3,1365,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,warmup,4,1395,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,0,1269,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,1,1354,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,2,1310,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,3,1377,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,4,1363,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,5,1353,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,6,1377,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,7,1318,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,8,1320,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,9,1373,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,10,1364,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,11,1353,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,12,1328,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,13,1355,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,14,1333,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,15,1360,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,16,1384,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,17,1268,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,18,1328,0
scna-fp16,exp,direct,on,32,8,4096,12,2,128,measure,19,1250,0
