mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,tree,off,16,16,4096,12,2,128,warmup,0,1820,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,warmup,1,1785,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,warmup,2,1888,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,warmup,3,1862,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,warmup,4,1863,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,0,1867,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,1,1878,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,2,1998,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,3,1990,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,4,1907,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,5,2004,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,6,1875,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,7,1975,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,8,1871,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,9,1945,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,10,2052,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,11,1971,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,12,1986,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,13,2005,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,14,2035,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,15,1995,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,16,2008,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,17,2003,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,18,1981,0
scna-int8,exp,tree,off,16,16,4096,12,2,128,measure,19,2006,0
