mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,direct,on,16,4,4096,12,2,128,warmup,0,883,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,warmup,1,768,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,warmup,2,663,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,warmup,3,662,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,warmup,4,655,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,0,669,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,1,660,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,2,658,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,3,666,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,4,679,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,5,658,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,6,664,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,7,666,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,8,670,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,9,657,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,10,664,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,11,723,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,12,669,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,13,668,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,14,665,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,15,705,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,16,767,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,17,755,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,18,786,0
scna-int8,exp,direct,on,16,4,4096,12,2,128,measure,19,754,0
