mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,exp2,direct,off,0,4,4096,12,2,128,warmup,0,1163,0
baseline,exp2,direct,off,0,4,4096,12,2,128,warmup,1,1029,0
baseline,exp2,direct,off,0,4,4096,12,2,128,warmup,2,1031,0
baseline,exp2,direct,off,0,4,4096,12,2,128,warmup,3,1150,0
baseline,exp2,direct,off,0,4,4096,12,2,128,warmup,4,1141,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,0,1141,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,1,1141,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,2,1143,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,3,1146,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,4,1142,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,5,1042,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,6,1027,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,7,1108,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,8,1164,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,9,1122,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,10,1229,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,11,1231,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,12,1143,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,13,1205,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,14,1145,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,15,1218,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,16,1209,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,17,1200,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,18,1197,0
baseline,exp2,direct,off,0,4,4096,12,2,128,measure,19,1216,0
