mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,32,4096,12,2,128,warmup,0,73587,0
scna-int8,32,4096,12,2,128,warmup,1,73630,0
scna-int8,32,4096,12,2,128,warmup,2,73599,0
scna-int8,32,4096,12,2,128,warmup,3,73571,0
scna-int8,32,4096,12,2,128,warmup,4,73690,0
scna-int8,32,4096,12,2,128,measure,0,73578,0
scna-int8,32,4096,12,2,128,measure,1,73585,0
scna-int8,32,4096,12,2,128,measure,2,73622,0
scna-int8,32,4096,12,2,128,measure,3,73646,0
scna-int8,32,4096,12,2,128,measure,4,73682,0
scna-int8,32,4096,12,2,128,measure,5,73624,0
scna-int8,32,4096,12,2,128,measure,6,73686,0
scna-int8,32,4096,12,2,128,measure,7,73626,0
scna-int8,32,4096,12,2,128,measure,8,73715,0
scna-int8,32,4096,12,2,128,measure,9,73571,0
scna-int8,32,4096,12,2,128,measure,10,73612,0
scna-int8,32,4096,12,2,128,measure,11,73690,0
scna-int8,32,4096,12,2,128,measure,12,73633,0
scna-int8,32,4096,12,2,128,measure,13,73683,0
scna-int8,32,4096,12,2,128,measure,14,73700,0
scna-int8,32,4096,12,2,128,measure,15,73667,0
scna-int8,32,4096,12,2,128,measure,16,73649,0
scna-int8,32,4096,12,2,128,measure,17,73659,0
scna-int8,32,4096,12,2,128,measure,18,73632,0
scna-int8,32,4096,12,2,128,measure,19,73663,0
