mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,8,4096,12,2,128,warmup,0,8839,0
scna-fp16,8,4096,12,2,128,warmup,1,8775,0
scna-fp16,8,4096,12,2,128,warmup,2,8938,0
scna-fp16,8,4096,12,2,128,warmup,3,8957,0
scna-fp16,8,4096,12,2,128,warmup,4,8855,0
scna-fp16,8,4096,12,2,128,measure,0,8872,0
scna-fp16,8,4096,12,2,128,measure,1,8961,0
scna-fp16,8,4096,12,2,128,measure,2,8878,0
scna-fp16,8,4096,12,2,128,measure,3,9005,0
scna-fp16,8,4096,12,2,128,measure,4,9009,0
scna-fp16,8,4096,12,2,128,measure,5,8966,0
scna-fp16,8,4096,12,2,128,measure,6,9042,0
scna-fp16,8,4096,12,2,128,measure,7,9039,0
scna-fp16,8,4096,12,2,128,measure,8,9070,0
scna-fp16,8,4096,12,2,128,measure,9,8972,0
scna-fp16,8,4096,12,2,128,measure,10,9036,0
scna-fp16,8,4096,12,2,128,measure,11,9095,0
scna-fp16,8,4096,12,2,128,measure,12,9045,0
scna-fp16,8,4096,12,2,128,measure,13,9023,0
scna-fp16,8,4096,12,2,128,measure,14,9168,0
scna-fp16,8,4096,12,2,128,measure,15,9151,0
scna-fp16,8,4096,12,2,128,measure,16,9008,0
scna-fp16,8,4096,12,2,128,measure,17,9103,0
scna-fp16,8,4096,12,2,128,measure,18,9092,0
scna-fp16,8,4096,12,2,128,measure,19,9064,0
