mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,32,4096,12,2,128,warmup,0,2187,0
baseline,32,4096,12,2,128,warmup,1,2392,0
baseline,32,4096,12,2,128,warmup,2,2376,0
baseline,32,4096,12,2,128,warmup,3,2459,0
baseline,32,4096,12,2,128,warmup,4,2395,0
baseline,32,4096,12,2,128,measure,0,2387,0
baseline,32,4096,12,2,128,measure,1,2362,0
baseline,32,4096,12,2,128,measure,2,2561,0
baseline,32,4096,12,2,128,measure,3,2508,0
baseline,32,4096,12,2,128,measure,4,2542,0
baseline,32,4096,12,2,128,measure,5,2571,0
baseline,32,4096,12,2,128,measure,6,2584,0
baseline,32,4096,12,2,128,measure,7,2495,0
baseline,32,4096,12,2,128,measure,8,2508,0
baseline,32,4096,12,2,128,measure,9,2552,0
baseline,32,4096,12,2,128,measure,10,2489,0
baseline,32,4096,12,2,128,measure,11,2535,0
baseline,32,4096,12,2,128,measure,12,2573,0
baseline,32,4096,12,2,128,measure,13,2522,0
baseline,32,4096,12,2,128,measure,14,2581,0
baseline,32,4096,12,2,128,measure,15,2510,0
baseline,32,4096,12,2,128,measure,16,2525,0
baseline,32,4096,12,2,128,measure,17,2504,0
baseline,32,4096,12,2,128,measure,18,2546,0
baseline,32,4096,12,2,128,measure,19,2589,0
