mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,iteration,record_count,profiled_total,q_load,k_load,v_load,qk_dot,safe_sm,core_acc,o_scale,o_store,q_load_pct,k_load_pct,v_load_pct,qk_dot_pct,safe_sm_pct,core_acc_pct,o_scale_pct,o_store_pct
baseline,4,4096,12,2,128,0,2,516,2,192,157,3,157,3,0,2,0.3875968992248062,37.2093023255814,30.426356589147286,0.5813953488372093,30.426356589147286,0.5813953488372093,0.0,0.3875968992248062
baseline,4,4096,12,2,128,1,2,504,2,181,154,3,158,2,0,4,0.3968253968253968,35.91269841269841,30.555555555555557,0.5952380952380952,31.349206349206348,0.3968253968253968,0.0,0.7936507936507936
baseline,4,4096,12,2,128,2,2,512,2,186,158,3,157,2,0,4,0.390625,36.328125,30.859375,0.5859375,30.6640625,0.390625,0.0,0.78125
baseline,4,4096,12,2,128,3,2,512,2,179,162,2,159,4,1,3,0.390625,34.9609375,31.640625,0.390625,31.0546875,0.78125,0.1953125,0.5859375
baseline,4,4096,12,2,128,4,2,501,2,175,159,2,157,2,0,4,0.39920159680638717,34.930139720558884,31.736526946107784,0.39920159680638717,31.3373253493014,0.39920159680638717,0.0,0.7984031936127743
baseline,4,4096,12,2,128,5,2,512,2,182,164,3,156,2,1,2,0.390625,35.546875,32.03125,0.5859375,30.46875,0.390625,0.1953125,0.390625
baseline,4,4096,12,2,128,6,2,508,2,184,160,3,155,2,0,2,0.39370078740157477,36.22047244094488,31.496062992125985,0.5905511811023622,30.511811023622048,0.39370078740157477,0.0,0.39370078740157477
baseline,4,4096,12,2,128,7,2,505,2,178,160,3,158,2,0,2,0.39603960396039606,35.24752475247524,31.683168316831683,0.594059405940594,31.287128712871286,0.39603960396039606,0.0,0.39603960396039606
baseline,4,4096,12,2,128,8,2,523,2,188,169,3,156,2,0,3,0.3824091778202677,35.94646271510516,32.313575525812624,0.5736137667304015,29.82791586998088,0.3824091778202677,0.0,0.5736137667304015
baseline,4,4096,12,2,128,9,2,512,2,187,159,3,156,3,0,2,0.390625,36.5234375,31.0546875,0.5859375,30.46875,0.5859375,0.0,0.390625
baseline,4,4096,12,2,128,10,2,528,2,198,163,3,156,4,0,2,0.3787878787878788,37.5,30.87121212121212,0.5681818181818182,29.545454545454547,0.7575757575757576,0.0,0.3787878787878788
baseline,4,4096,12,2,128,11,2,520,2,197,161,2,154,2,0,2,0.38461538461538464,37.88461538461539,30.961538461538463,0.38461538461538464,29.615384615384617,0.38461538461538464,0.0,0.38461538461538464
baseline,4,4096,12,2,128,12,2,510,2,186,158,3,157,2,0,2,0.39215686274509803,36.470588235294116,30.980392156862745,0.5882352941176471,30.784313725490197,0.39215686274509803,0.0,0.39215686274509803
baseline,4,4096,12,2,128,13,2,508,2,182,163,3,154,2,0,2,0.39370078740157477,35.826771653543304,32.08661417322835,0.5905511811023622,30.314960629921263,0.39370078740157477,0.0,0.39370078740157477
baseline,4,4096,12,2,128,14,2,513,2,180,167,3,156,3,0,2,0.3898635477582846,35.08771929824561,32.553606237816766,0.5847953216374269,30.409356725146196,0.5847953216374269,0.0,0.3898635477582846
baseline,4,4096,12,2,128,15,2,532,2,184,180,3,157,3,1,2,0.37593984962406013,34.58646616541353,33.83458646616541,0.5639097744360901,29.51127819548872,0.5639097744360901,0.18796992481203006,0.37593984962406013
baseline,4,4096,12,2,128,16,2,532,2,190,174,3,157,4,0,2,0.37593984962406013,35.714285714285715,32.70676691729324,0.5639097744360901,29.51127819548872,0.7518796992481203,0.0,0.37593984962406013
baseline,4,4096,12,2,128,17,2,511,2,183,165,2,155,2,0,2,0.3913894324853229,35.81213307240704,32.28962818003914,0.3913894324853229,30.332681017612522,0.3913894324853229,0.0,0.3913894324853229
baseline,4,4096,12,2,128,18,2,527,2,194,166,3,157,2,0,3,0.3795066413662239,36.81214421252372,31.499051233396585,0.5692599620493358,29.79127134724858,0.3795066413662239,0.0,0.5692599620493358
baseline,4,4096,12,2,128,19,2,512,2,191,155,4,155,3,0,2,0.390625,37.3046875,30.2734375,0.78125,30.2734375,0.5859375,0.0,0.390625
baseline,8,4096,12,2,128,0,2,719,4,155,212,8,324,10,1,5,0.5563282336578581,21.557719054242003,29.48539638386648,1.1126564673157162,45.06258692628651,1.3908205841446455,0.13908205841446453,0.6954102920723227
baseline,8,4096,12,2,128,1,2,704,4,155,201,9,325,3,1,6,0.5681818181818182,22.017045454545457,28.551136363636363,1.278409090909091,46.16477272727273,0.4261363636363636,0.14204545454545456,0.8522727272727272
baseline,8,4096,12,2,128,2,2,722,4,166,204,9,326,6,1,6,0.554016620498615,22.99168975069252,28.254847645429365,1.2465373961218837,45.15235457063712,0.8310249307479225,0.13850415512465375,0.8310249307479225
baseline,8,4096,12,2,128,3,2,717,4,163,203,9,326,5,1,6,0.5578800557880056,22.733612273361228,28.312412831241286,1.2552301255230125,45.467224546722456,0.697350069735007,0.1394700139470014,0.8368200836820083
baseline,8,4096,12,2,128,4,2,717,4,165,201,7,325,8,1,6,0.5578800557880056,23.01255230125523,28.03347280334728,0.9762900976290098,45.32775453277546,1.1157601115760112,0.1394700139470014,0.8368200836820083
baseline,8,4096,12,2,128,5,2,723,4,176,196,9,326,5,1,6,0.5532503457814661,24.343015214384508,27.10926694329184,1.2448132780082988,45.08990318118949,0.6915629322268326,0.13831258644536654,0.8298755186721992
baseline,8,4096,12,2,128,6,2,735,4,184,200,8,324,8,1,6,0.5442176870748299,25.03401360544218,27.2108843537415,1.0884353741496597,44.08163265306123,1.0884353741496597,0.13605442176870747,0.8163265306122449
baseline,8,4096,12,2,128,7,2,713,4,166,195,9,326,6,1,6,0.5610098176718092,23.281907433380084,27.349228611500703,1.262272089761571,45.72230014025245,0.8415147265077139,0.1402524544179523,0.8415147265077139
baseline,8,4096,12,2,128,8,2,738,4,180,206,9,325,8,1,5,0.5420054200542005,24.390243902439025,27.91327913279133,1.2195121951219512,44.03794037940379,1.084010840108401,0.13550135501355012,0.6775067750677507
baseline,8,4096,12,2,128,9,2,690,4,156,196,7,317,3,1,6,0.5797101449275363,22.608695652173914,28.405797101449277,1.0144927536231882,45.94202898550724,0.43478260869565216,0.14492753623188406,0.8695652173913043
baseline,8,4096,12,2,128,10,2,726,4,181,201,8,318,7,1,6,0.5509641873278237,24.931129476584022,27.685950413223143,1.1019283746556474,43.80165289256198,0.9641873278236914,0.13774104683195593,0.8264462809917356
baseline,8,4096,12,2,128,11,2,702,4,159,195,7,322,7,2,6,0.5698005698005698,22.64957264957265,27.77777777777778,0.9971509971509971,45.86894586894587,0.9971509971509971,0.2849002849002849,0.8547008547008548
baseline,8,4096,12,2,128,12,2,708,4,166,192,9,324,6,1,6,0.5649717514124294,23.44632768361582,27.11864406779661,1.2711864406779663,45.76271186440678,0.847457627118644,0.14124293785310735,0.847457627118644
baseline,8,4096,12,2,128,13,2,748,4,180,218,9,323,7,1,6,0.53475935828877,24.06417112299465,29.144385026737968,1.2032085561497325,43.18181818181818,0.9358288770053476,0.1336898395721925,0.8021390374331552
baseline,8,4096,12,2,128,14,2,717,4,171,200,9,323,2,1,7,0.5578800557880056,23.84937238493724,27.89400278940028,1.2552301255230125,45.04881450488145,0.2789400278940028,0.1394700139470014,0.9762900976290098
baseline,8,4096,12,2,128,15,2,706,4,156,203,7,321,8,1,6,0.56657223796034,22.096317280453256,28.753541076487256,0.9915014164305949,45.46742209631728,1.13314447592068,0.141643059490085,0.84985835694051
baseline,8,4096,12,2,128,16,2,735,4,165,223,9,320,7,1,6,0.5442176870748299,22.448979591836736,30.34013605442177,1.2244897959183674,43.53741496598639,0.9523809523809524,0.13605442176870747,0.8163265306122449
baseline,8,4096,12,2,128,17,2,726,4,174,205,7,324,5,1,6,0.5509641873278237,23.96694214876033,28.236914600550968,0.9641873278236914,44.62809917355372,0.6887052341597797,0.13774104683195593,0.8264462809917356
baseline,8,4096,12,2,128,18,2,740,4,180,207,9,324,9,1,6,0.5405405405405406,24.324324324324326,27.972972972972972,1.2162162162162162,43.78378378378379,1.2162162162162162,0.13513513513513514,0.8108108108108109
baseline,8,4096,12,2,128,19,2,731,4,184,195,8,326,7,1,6,0.5471956224350205,25.170998632010942,26.67578659370725,1.094391244870041,44.59644322845418,0.957592339261286,0.13679890560875513,0.8207934336525308
baseline,16,4096,12,2,128,0,2,1055,8,174,127,14,705,14,1,12,0.7582938388625593,16.492890995260666,12.037914691943127,1.3270142180094786,66.82464454976304,1.3270142180094786,0.09478672985781991,1.1374407582938388
