qo_len,reference,candidate,samples_per_side,median_speedup,ci95_low,ci95_high
4,baseline,scna-fp16-exp-tree-d8-pipeline-on,40,1.7797164667393675,1.6753724135964818,1.818880351262349
4,lut-exp,scna-fp16-exp-tree-d8-pipeline-on,40,1.756815703380589,1.6938997821350763,1.785557986870897
8,baseline,scna-fp16-exp-tree-d8-pipeline-on,40,1.5,1.2798913043478262,1.6142208774583964
8,lut-exp,scna-fp16-exp-tree-d8-pipeline-on,40,1.1066856330014225,0.9460179821599916,1.3353475463749653
16,baseline,scna-fp16-exp-tree-d8-pipeline-on,40,1.2708524289642529,1.2364439812206178,1.2880733944954128
16,lut-exp,scna-fp16-exp-tree-d8-pipeline-on,40,0.9527956003666361,0.9384404924760602,0.9707054309327037
32,baseline,scna-fp16-exp-tree-d8-pipeline-on,40,1.131940626717977,1.123190385140672,1.1398562741846323
32,lut-exp,scna-fp16-exp-tree-d8-pipeline-on,40,0.7894447498625619,0.7806487080813634,0.8041804180418042
